Component_1,Component_2,Cluster
-0.25,0.13,5
-0.25,0.13,5
-0.25,0.13,5
-0.14,0.13,1
-0.14,0.13,1
0.22,-0.4,7
0.0,0.03,6
0.0,0.03,6
-0.22,0.14,2
-0.22,0.14,2
-0.22,0.14,2
-0.22,0.14,2
0.37,-0.53,3
-0.16,0.11,1
-0.16,0.11,1
-0.05,0.02,1
-0.25,0.13,5
-0.21,0.12,4
-0.22,0.14,2
-0.22,0.14,2
-0.22,0.14,2
-0.22,0.14,2
0.37,-0.53,3
-0.16,0.13,8
-0.21,0.12,4
0.96,-1.82,3
0.04,0.02,6
-0.16,0.13,8
-0.21,0.12,4
0.0,0.03,6
0.27,-0.42,7
0.04,0.02,6
-0.11,0.11,9
-0.02,0.04,6
-0.11,0.11,9
0.16,-0.14,6
-0.11,0.11,9
-0.11,0.11,9
0.73,-1.39,3
-0.25,0.13,5
0.24,-0.4,7
-0.19,0.12,1
-0.11,0.11,9
0.04,-0.4,5
0.17,-0.41,7
-0.11,0.11,9
-0.16,0.13,8
-0.16,0.13,8
-0.25,0.13,5
0.22,-0.4,7
-0.08,-0.16,1
0.27,-0.42,7
-0.22,0.14,2
-0.16,0.11,1
-0.21,0.12,4
-0.21,0.12,4
-0.22,0.14,2
-0.21,0.12,4
-0.21,0.12,4
-0.16,0.13,8
-0.11,0.11,9
-0.02,0.02,6
-0.11,0.11,9
-0.2,0.14,5
0.27,-0.42,7
-0.22,0.14,2
0.68,-1.37,3
-0.21,0.12,4
-0.21,0.12,4
-0.22,0.14,2
-0.22,0.18,8
-0.16,0.13,8
0.15,0.51,5
-0.21,0.12,4
-0.08,-0.16,1
-0.08,-0.16,1
0.26,-0.51,3
-0.1,-0.16,4
-0.16,0.13,8
-0.16,0.11,1
0.27,-0.42,7
-0.21,0.12,4
-0.16,0.11,1
0.97,0.62,6
-0.27,0.15,2
2.89,2.19,6
-0.27,0.15,2
-0.14,0.13,1
-0.11,0.11,9
0.04,0.02,6
1.68,-0.36,6
