Component_1,Component_2,Cluster
0.07,-0.08,1
0.07,-0.08,1
0.07,-0.08,1
-0.13,0.1,3
-0.15,0.1,3
-0.21,0.18,4
-0.14,0.09,3
-0.14,0.09,3
-0.19,0.15,8
-0.19,0.15,8
-0.19,0.15,8
-0.19,0.15,8
-0.2,0.22,2
-0.1,0.17,5
-0.1,0.16,5
0.01,-0.08,3
-0.16,0.12,3
-0.07,0.23,2
-0.19,0.15,8
-0.19,0.15,8
-0.19,0.15,8
-0.19,0.15,8
-0.19,0.2,2
0.12,-0.61,6
-0.2,0.24,2
-0.16,0.08,3
0.72,0.19,7
0.1,-0.59,6
-0.16,0.12,4
-0.14,0.09,3
-0.12,0.15,4
-0.16,0.12,4
0.11,-0.61,6
-0.17,0.23,2
-0.16,0.07,4
-0.17,0.23,2
0.64,0.15,7
0.89,0.32,7
-0.19,0.15,4
-0.14,0.09,3
-0.14,0.12,3
0.63,0.16,7
0.72,0.16,7
-0.14,0.09,3
0.07,-0.1,1
0.1,-0.59,6
0.11,-0.61,6
0.1,-0.59,6
0.07,-0.08,1
0.11,-0.61,6
-0.21,0.19,4
0.1,-0.59,6
-0.19,0.15,8
-0.18,-0.06,4
-0.15,0.13,8
-0.14,0.21,4
-0.19,0.15,8
-0.15,0.13,8
-0.15,0.13,8
0.12,-0.61,6
0.11,-0.61,6
-0.17,0.23,2
0.11,-0.61,6
0.07,-0.08,1
0.06,-0.1,1
-0.19,0.15,8
-0.18,-0.06,4
0.08,-0.12,1
0.07,-0.1,1
-0.19,0.15,8
-0.15,-0.26,4
0.12,-0.61,6
0.66,0.18,7
-0.16,0.12,4
-0.21,0.19,4
-0.21,0.19,4
-0.16,0.19,2
0.11,-0.06,8
0.11,-0.61,6
-0.17,0.23,2
-0.17,0.23,2
0.08,-0.1,1
-0.16,0.12,4
2.12,0.64,7
-0.16,0.11,3
-0.01,-0.01,5
-0.14,0.21,4
-0.17,0.22,4
0.11,-0.61,6
0.08,-0.1,1
0.35,0.23,5
