antecedent,consequent,support,confidence,Cluster
tet(M),erm(B),0.62,1.0,1
tet(W),erm(B),0.86,0.86,2
erm(B),tet(W),0.86,1.0,2
erm(B),ant(6)-Ia,0.83,1.0,3
ant(6)-Ia,erm(B),0.83,0.83,3
erm(B),SAT-4,0.83,1.0,3
SAT-4,erm(B),0.83,0.83,3
erm(B),erm(47),0.83,1.0,3
erm(47),erm(B),0.83,0.83,3
tet(O),erm(B),0.33,1.0,3
ant(6)-Ia,SAT-4,1.0,1.0,3
SAT-4,ant(6)-Ia,1.0,1.0,3
tet(T),ant(6)-Ia,0.5,1.0,3
ant(6)-Ia,erm(47),1.0,1.0,3
erm(47),ant(6)-Ia,1.0,1.0,3
aph(3')-III,ant(6)-Ia,0.5,1.0,3
tet(O),ant(6)-Ia,0.33,1.0,3
tet(T),SAT-4,0.5,1.0,3
SAT-4,erm(47),1.0,1.0,3
erm(47),SAT-4,1.0,1.0,3
aph(3')-III,SAT-4,0.5,1.0,3
tet(O),SAT-4,0.33,1.0,3
tet(T),erm(47),0.5,1.0,3
tet(T),aph(3')-III,0.5,1.0,3
aph(3')-III,tet(T),0.5,1.0,3
aph(3')-III,erm(47),0.5,1.0,3
tet(O),erm(47),0.33,1.0,3
tet(O),erm(B),0.75,0.9,6
erm(B),tet(O),0.75,0.82,6
tet(O),ant(6)-Ia,0.83,1.0,6
ant(6)-Ia,tet(O),0.83,0.83,6
erm(B),ant(6)-Ia,0.92,1.0,6
ant(6)-Ia,erm(B),0.92,0.92,6
erm(B),ant(6)-Ia,0.62,1.0,7
erm(B),lnu(B),0.62,1.0,7
erm(B),lsa(E),0.62,1.0,7
erm(B),tet(O),0.62,1.0,7
tet(O),erm(B),0.62,0.71,7
erm(B),spw,0.62,1.0,7
ant(6)-Ia,lnu(B),1.0,1.0,7
lnu(B),ant(6)-Ia,1.0,1.0,7
ant(6)-Ia,lsa(E),1.0,1.0,7
lsa(E),ant(6)-Ia,1.0,1.0,7
ant(6)-Ia,tet(O),0.88,0.88,7
tet(O),ant(6)-Ia,0.88,1.0,7
ant(6)-Ia,spw,1.0,1.0,7
spw,ant(6)-Ia,1.0,1.0,7
lnu(B),lsa(E),1.0,1.0,7
lsa(E),lnu(B),1.0,1.0,7
lnu(B),tet(O),0.88,0.88,7
tet(O),lnu(B),0.88,1.0,7
lnu(B),spw,1.0,1.0,7
spw,lnu(B),1.0,1.0,7
lsa(E),tet(O),0.88,0.88,7
tet(O),lsa(E),0.88,1.0,7
lsa(E),spw,1.0,1.0,7
spw,lsa(E),1.0,1.0,7
tet(O),spw,0.88,1.0,7
spw,tet(O),0.88,0.88,7
tet(O),erm(B),1.0,1.0,9
erm(B),tet(O),1.0,1.0,9
