Feature,Chi2,P_Value,Adjusted_P,FDR_Rejected
SAT-4,91.0,0.0,0.0,True
aad9,13.46,0.1,0.14,False
ant(6)-Ia,86.58,0.0,0.0,True
ant(6)-Ib,7.0,0.54,0.57,False
aph(3')-III,43.95,0.0,0.0,True
erm(47),68.48,0.0,0.0,True
erm(B),68.67,0.0,0.0,True
lnu(B),53.0,0.0,0.0,True
lnu(C),10.49,0.23,0.3,False
lsa(E),53.0,0.0,0.0,True
optrA,6.66,0.57,0.57,False
spw,67.47,0.0,0.0,True
tet(40),6.66,0.57,0.57,False
tet(44),6.66,0.57,0.57,False
tet(L),6.66,0.57,0.57,False
tet(M),56.06,0.0,0.0,True
tet(O),62.29,0.0,0.0,True
tet(O/W/32/O),13.46,0.1,0.14,False
tet(T),43.95,0.0,0.0,True
tet(W),84.95,0.0,0.0,True
vga(F),20.42,0.01,0.02,True
