Cluster,Row,Column,Phi
1,ant(6)-Ia,ant(6)-Ia,1.0
1,ant(6)-Ia,lnu(B),-0.16
1,ant(6)-Ia,lsa(E),-0.16
1,ant(6)-Ia,tet(M),0.23
1,ant(6)-Ia,tet(O),-0.16
1,lnu(B),ant(6)-Ia,-0.16
1,lnu(B),lnu(B),1.0
1,lnu(B),lsa(E),1.0
1,lnu(B),tet(M),0.43
1,lnu(B),tet(O),-0.3
1,lsa(E),ant(6)-Ia,-0.16
1,lsa(E),lnu(B),1.0
1,lsa(E),lsa(E),1.0
1,lsa(E),tet(M),0.43
1,lsa(E),tet(O),-0.3
1,tet(M),ant(6)-Ia,0.23
1,tet(M),lnu(B),0.43
1,tet(M),lsa(E),0.43
1,tet(M),tet(M),1.0
1,tet(M),tet(O),0.43
1,tet(O),ant(6)-Ia,-0.16
1,tet(O),lnu(B),-0.3
1,tet(O),lsa(E),-0.3
1,tet(O),tet(M),0.43
1,tet(O),tet(O),1.0
2,erm(B),erm(B),1.0
3,aph(3')-III,aph(3')-III,1.0
3,aph(3')-III,erm(B),-0.45
3,aph(3')-III,lnu(B),0.45
3,aph(3')-III,lsa(E),0.45
3,aph(3')-III,spw,0.45
3,aph(3')-III,tet(O),-0.71
3,aph(3')-III,tet(T),1.0
3,aph(3')-III,tet(W),-0.45
3,erm(B),aph(3')-III,-0.45
3,erm(B),erm(B),1.0
3,erm(B),lnu(B),0.2
3,erm(B),lsa(E),0.2
3,erm(B),spw,0.2
3,erm(B),tet(O),0.32
3,erm(B),tet(T),-0.45
3,erm(B),tet(W),0.2
3,lnu(B),aph(3')-III,0.45
3,lnu(B),erm(B),0.2
3,lnu(B),lnu(B),1.0
3,lnu(B),lsa(E),1.0
3,lnu(B),spw,1.0
3,lnu(B),tet(O),-0.32
3,lnu(B),tet(T),0.45
3,lnu(B),tet(W),-0.2
3,lsa(E),aph(3')-III,0.45
3,lsa(E),erm(B),0.2
3,lsa(E),lnu(B),1.0
3,lsa(E),lsa(E),1.0
3,lsa(E),spw,1.0
3,lsa(E),tet(O),-0.32
3,lsa(E),tet(T),0.45
3,lsa(E),tet(W),-0.2
3,spw,aph(3')-III,0.45
3,spw,erm(B),0.2
3,spw,lnu(B),1.0
3,spw,lsa(E),1.0
3,spw,spw,1.0
3,spw,tet(O),-0.32
3,spw,tet(T),0.45
3,spw,tet(W),-0.2
3,tet(O),aph(3')-III,-0.71
3,tet(O),erm(B),0.32
3,tet(O),lnu(B),-0.32
3,tet(O),lsa(E),-0.32
3,tet(O),spw,-0.32
3,tet(O),tet(O),1.0
3,tet(O),tet(T),-0.71
3,tet(O),tet(W),-0.32
3,tet(T),aph(3')-III,1.0
3,tet(T),erm(B),-0.45
3,tet(T),lnu(B),0.45
3,tet(T),lsa(E),0.45
3,tet(T),spw,0.45
3,tet(T),tet(O),-0.71
3,tet(T),tet(T),1.0
3,tet(T),tet(W),-0.45
3,tet(W),aph(3')-III,-0.45
3,tet(W),erm(B),0.2
3,tet(W),lnu(B),-0.2
3,tet(W),lsa(E),-0.2
3,tet(W),spw,-0.2
3,tet(W),tet(O),-0.32
3,tet(W),tet(T),-0.45
3,tet(W),tet(W),1.0
4,lnu(B),lnu(B),1.0
4,lnu(B),lsa(E),1.0
4,lsa(E),lnu(B),1.0
4,lsa(E),lsa(E),1.0
5,ant(6)-Ib,ant(6)-Ib,1.0
5,ant(6)-Ib,erm(47),-0.12
5,ant(6)-Ib,lnu(B),-0.12
5,ant(6)-Ib,lsa(E),-0.12
5,ant(6)-Ib,tet(O),-0.12
5,erm(47),ant(6)-Ib,-0.12
5,erm(47),erm(47),1.0
5,erm(47),lnu(B),1.0
5,erm(47),lsa(E),1.0
5,erm(47),tet(O),-0.12
5,lnu(B),ant(6)-Ib,-0.12
5,lnu(B),erm(47),1.0
5,lnu(B),lnu(B),1.0
5,lnu(B),lsa(E),1.0
5,lnu(B),tet(O),-0.12
5,lsa(E),ant(6)-Ib,-0.12
5,lsa(E),erm(47),1.0
5,lsa(E),lnu(B),1.0
5,lsa(E),lsa(E),1.0
5,lsa(E),tet(O),-0.12
5,tet(O),ant(6)-Ib,-0.12
5,tet(O),erm(47),-0.12
5,tet(O),lnu(B),-0.12
5,tet(O),lsa(E),-0.12
5,tet(O),tet(O),1.0
6,aad9,aad9,1.0
6,aad9,ant(6)-Ib,-0.13
6,aad9,erm(47),-0.13
6,aad9,erm(B),-0.67
6,aad9,optrA,-0.13
6,aad9,spw,-0.2
6,aad9,tet(40),-0.13
6,aad9,tet(44),-0.13
6,aad9,tet(L),-0.13
6,aad9,tet(M),-0.26
6,aad9,tet(O),-0.4
6,aad9,tet(O/W/32/O),-0.2
6,aad9,vga(F),-0.26
6,ant(6)-Ib,aad9,-0.13
6,ant(6)-Ib,ant(6)-Ib,1.0
6,ant(6)-Ib,erm(47),-0.09
6,ant(6)-Ib,erm(B),0.09
6,ant(6)-Ib,optrA,-0.09
6,ant(6)-Ib,spw,-0.13
6,ant(6)-Ib,tet(40),-0.09
6,ant(6)-Ib,tet(44),1.0
6,ant(6)-Ib,tet(L),1.0
6,ant(6)-Ib,tet(M),-0.17
6,ant(6)-Ib,tet(O),0.13
6,ant(6)-Ib,tet(O/W/32/O),0.67
6,ant(6)-Ib,vga(F),0.52
6,erm(47),aad9,-0.13
6,erm(47),ant(6)-Ib,-0.09
6,erm(47),erm(47),1.0
6,erm(47),erm(B),0.09
6,erm(47),optrA,1.0
6,erm(47),spw,0.67
6,erm(47),tet(40),1.0
6,erm(47),tet(44),-0.09
6,erm(47),tet(L),-0.09
6,erm(47),tet(M),-0.17
6,erm(47),tet(O),0.13
6,erm(47),tet(O/W/32/O),-0.13
6,erm(47),vga(F),0.52
6,erm(B),aad9,-0.67
6,erm(B),ant(6)-Ib,0.09
6,erm(B),erm(47),0.09
6,erm(B),erm(B),1.0
6,erm(B),optrA,0.09
6,erm(B),spw,0.13
6,erm(B),tet(40),0.09
6,erm(B),tet(44),0.09
6,erm(B),tet(L),0.09
6,erm(B),tet(M),0.17
6,erm(B),tet(O),-0.13
6,erm(B),tet(O/W/32/O),0.13
6,erm(B),vga(F),0.17
6,optrA,aad9,-0.13
6,optrA,ant(6)-Ib,-0.09
6,optrA,erm(47),1.0
6,optrA,erm(B),0.09
6,optrA,optrA,1.0
6,optrA,spw,0.67
6,optrA,tet(40),1.0
6,optrA,tet(44),-0.09
6,optrA,tet(L),-0.09
6,optrA,tet(M),-0.17
6,optrA,tet(O),0.13
6,optrA,tet(O/W/32/O),-0.13
6,optrA,vga(F),0.52
6,spw,aad9,-0.2
6,spw,ant(6)-Ib,-0.13
6,spw,erm(47),0.67
6,spw,erm(B),0.13
6,spw,optrA,0.67
6,spw,spw,1.0
6,spw,tet(40),0.67
6,spw,tet(44),-0.13
6,spw,tet(L),-0.13
6,spw,tet(M),-0.26
6,spw,tet(O),0.2
6,spw,tet(O/W/32/O),-0.2
6,spw,vga(F),0.26
6,tet(40),aad9,-0.13
6,tet(40),ant(6)-Ib,-0.09
6,tet(40),erm(47),1.0
6,tet(40),erm(B),0.09
6,tet(40),optrA,1.0
6,tet(40),spw,0.67
6,tet(40),tet(40),1.0
6,tet(40),tet(44),-0.09
6,tet(40),tet(L),-0.09
6,tet(40),tet(M),-0.17
6,tet(40),tet(O),0.13
6,tet(40),tet(O/W/32/O),-0.13
6,tet(40),vga(F),0.52
6,tet(44),aad9,-0.13
6,tet(44),ant(6)-Ib,1.0
6,tet(44),erm(47),-0.09
6,tet(44),erm(B),0.09
6,tet(44),optrA,-0.09
6,tet(44),spw,-0.13
6,tet(44),tet(40),-0.09
6,tet(44),tet(44),1.0
6,tet(44),tet(L),1.0
6,tet(44),tet(M),-0.17
6,tet(44),tet(O),0.13
6,tet(44),tet(O/W/32/O),0.67
6,tet(44),vga(F),0.52
6,tet(L),aad9,-0.13
6,tet(L),ant(6)-Ib,1.0
6,tet(L),erm(47),-0.09
6,tet(L),erm(B),0.09
6,tet(L),optrA,-0.09
6,tet(L),spw,-0.13
6,tet(L),tet(40),-0.09
6,tet(L),tet(44),1.0
6,tet(L),tet(L),1.0
6,tet(L),tet(M),-0.17
6,tet(L),tet(O),0.13
6,tet(L),tet(O/W/32/O),0.67
6,tet(L),vga(F),0.52
6,tet(M),aad9,-0.26
6,tet(M),ant(6)-Ib,-0.17
6,tet(M),erm(47),-0.17
6,tet(M),erm(B),0.17
6,tet(M),optrA,-0.17
6,tet(M),spw,-0.26
6,tet(M),tet(40),-0.17
6,tet(M),tet(44),-0.17
6,tet(M),tet(L),-0.17
6,tet(M),tet(M),1.0
6,tet(M),tet(O),0.26
6,tet(M),tet(O/W/32/O),-0.26
6,tet(M),vga(F),-0.33
6,tet(O),aad9,-0.4
6,tet(O),ant(6)-Ib,0.13
6,tet(O),erm(47),0.13
6,tet(O),erm(B),-0.13
6,tet(O),optrA,0.13
6,tet(O),spw,0.2
6,tet(O),tet(40),0.13
6,tet(O),tet(44),0.13
6,tet(O),tet(L),0.13
6,tet(O),tet(M),0.26
6,tet(O),tet(O),1.0
6,tet(O),tet(O/W/32/O),-0.4
6,tet(O),vga(F),-0.26
6,tet(O/W/32/O),aad9,-0.2
6,tet(O/W/32/O),ant(6)-Ib,0.67
6,tet(O/W/32/O),erm(47),-0.13
6,tet(O/W/32/O),erm(B),0.13
6,tet(O/W/32/O),optrA,-0.13
6,tet(O/W/32/O),spw,-0.2
6,tet(O/W/32/O),tet(40),-0.13
6,tet(O/W/32/O),tet(44),0.67
6,tet(O/W/32/O),tet(L),0.67
6,tet(O/W/32/O),tet(M),-0.26
6,tet(O/W/32/O),tet(O),-0.4
6,tet(O/W/32/O),tet(O/W/32/O),1.0
6,tet(O/W/32/O),vga(F),0.77
6,vga(F),aad9,-0.26
6,vga(F),ant(6)-Ib,0.52
6,vga(F),erm(47),0.52
6,vga(F),erm(B),0.17
6,vga(F),optrA,0.52
6,vga(F),spw,0.26
6,vga(F),tet(40),0.52
6,vga(F),tet(44),0.52
6,vga(F),tet(L),0.52
6,vga(F),tet(M),-0.33
6,vga(F),tet(O),-0.26
6,vga(F),tet(O/W/32/O),0.77
6,vga(F),vga(F),1.0
7,erm(B),erm(B),1.0
7,erm(B),tet(M),0.29
7,erm(B),tet(O),0.49
7,tet(M),erm(B),0.29
7,tet(M),tet(M),1.0
7,tet(M),tet(O),0.14
7,tet(O),erm(B),0.49
7,tet(O),tet(M),0.14
7,tet(O),tet(O),1.0
8,lnu(C),lnu(C),1.0
