Feature,ClusterA,ClusterB,Chi2,P_Value,Adjusted_P,FDR_Rejected
SAT-4,1,2,,1.0,1.0,False
SAT-4,1,3,,0.0,0.0,True
SAT-4,1,4,,1.0,1.0,False
SAT-4,1,5,,1.0,1.0,False
SAT-4,1,6,,1.0,1.0,False
SAT-4,1,7,,1.0,1.0,False
SAT-4,1,8,,1.0,1.0,False
SAT-4,1,9,,1.0,1.0,False
SAT-4,2,3,,0.0,0.0,True
SAT-4,2,4,,1.0,1.0,False
SAT-4,2,5,,1.0,1.0,False
SAT-4,2,6,,1.0,1.0,False
SAT-4,2,7,,1.0,1.0,False
SAT-4,2,8,,1.0,1.0,False
SAT-4,2,9,,1.0,1.0,False
SAT-4,3,4,,0.0,0.0,True
SAT-4,3,5,,0.0,0.0,True
SAT-4,3,6,,0.0,0.0,True
SAT-4,3,7,,0.0,0.0,True
SAT-4,3,8,,0.0,0.0,True
SAT-4,3,9,,0.0,0.0,True
SAT-4,4,5,,1.0,1.0,False
SAT-4,4,6,,1.0,1.0,False
SAT-4,4,7,,1.0,1.0,False
SAT-4,4,8,,1.0,1.0,False
SAT-4,4,9,,1.0,1.0,False
SAT-4,5,6,,1.0,1.0,False
SAT-4,5,7,,1.0,1.0,False
SAT-4,5,8,,1.0,1.0,False
SAT-4,5,9,,1.0,1.0,False
SAT-4,6,7,,1.0,1.0,False
SAT-4,6,8,,1.0,1.0,False
SAT-4,6,9,,1.0,1.0,False
SAT-4,7,8,,1.0,1.0,False
SAT-4,7,9,,1.0,1.0,False
SAT-4,8,9,,1.0,1.0,False
aad9,1,2,,1.0,1.0,False
aad9,1,3,,1.0,1.0,False
aad9,1,4,,1.0,1.0,False
aad9,1,5,,1.0,1.0,False
aad9,1,6,,0.22,1.0,False
aad9,1,7,,1.0,1.0,False
aad9,1,8,,1.0,1.0,False
aad9,1,9,,1.0,1.0,False
aad9,2,3,,1.0,1.0,False
aad9,2,4,,1.0,1.0,False
aad9,2,5,,1.0,1.0,False
aad9,2,6,,0.2,1.0,False
aad9,2,7,,1.0,1.0,False
aad9,2,8,,1.0,1.0,False
aad9,2,9,,1.0,1.0,False
aad9,3,4,,1.0,1.0,False
aad9,3,5,,1.0,1.0,False
aad9,3,6,,0.53,1.0,False
aad9,3,7,,1.0,1.0,False
aad9,3,8,,1.0,1.0,False
aad9,3,9,,1.0,1.0,False
aad9,4,5,,1.0,1.0,False
aad9,4,6,,0.48,1.0,False
aad9,4,7,,1.0,1.0,False
aad9,4,8,,1.0,1.0,False
aad9,4,9,,1.0,1.0,False
aad9,5,6,,0.49,1.0,False
aad9,5,7,,1.0,1.0,False
aad9,5,8,,1.0,1.0,False
aad9,5,9,,1.0,1.0,False
aad9,6,7,,0.49,1.0,False
aad9,6,8,,0.49,1.0,False
aad9,6,9,,0.49,1.0,False
aad9,7,8,,1.0,1.0,False
aad9,7,9,,1.0,1.0,False
aad9,8,9,,1.0,1.0,False
ant(6)-Ia,1,2,,0.48,1.0,False
ant(6)-Ia,1,3,,0.0,0.0,True
ant(6)-Ia,1,4,,1.0,1.0,False
ant(6)-Ia,1,5,,1.0,1.0,False
ant(6)-Ia,1,6,,0.0,0.0,True
ant(6)-Ia,1,7,,0.0,0.0,True
ant(6)-Ia,1,8,,1.0,1.0,False
ant(6)-Ia,1,9,,1.0,1.0,False
ant(6)-Ia,2,3,,0.0,0.0,True
ant(6)-Ia,2,4,,1.0,1.0,False
ant(6)-Ia,2,5,,1.0,1.0,False
ant(6)-Ia,2,6,,0.0,0.0,True
ant(6)-Ia,2,7,,0.0,0.0,True
ant(6)-Ia,2,8,,1.0,1.0,False
ant(6)-Ia,2,9,,1.0,1.0,False
ant(6)-Ia,3,4,,0.0,0.0,True
ant(6)-Ia,3,5,,0.0,0.0,True
ant(6)-Ia,3,6,,1.0,1.0,False
ant(6)-Ia,3,7,,1.0,1.0,False
ant(6)-Ia,3,8,,0.0,0.0,True
ant(6)-Ia,3,9,,0.0,0.0,True
ant(6)-Ia,4,5,,1.0,1.0,False
ant(6)-Ia,4,6,,0.0,0.0,True
ant(6)-Ia,4,7,,0.0,0.0,True
ant(6)-Ia,4,8,,1.0,1.0,False
ant(6)-Ia,4,9,,1.0,1.0,False
ant(6)-Ia,5,6,,0.0,0.0,True
ant(6)-Ia,5,7,,0.0,0.0,True
ant(6)-Ia,5,8,,1.0,1.0,False
ant(6)-Ia,5,9,,1.0,1.0,False
ant(6)-Ia,6,7,,1.0,1.0,False
ant(6)-Ia,6,8,,0.0,0.0,True
ant(6)-Ia,6,9,,0.0,0.0,True
ant(6)-Ia,7,8,,0.0,0.0,True
