Cluster,Feature,Odds_Ratio,Log_Odds_Ratio,CI_low,CI_high
1,SAT-4,0.41,-0.88,-1.62,0.13
1,aad9,1.13,0.13,-0.7,1.76
1,ant(6)-Ia,0.24,-1.44,-2.83,-0.27
1,ant(6)-Ib,1.13,0.13,-0.71,1.76
1,aph(3')-III,0.8,-0.22,-1.04,1.76
1,erm(47),0.31,-1.18,-1.72,-0.48
1,erm(B),23.19,3.14,2.72,3.55
1,lnu(B),1.96,0.67,-0.71,2.02
1,lnu(C),1.91,0.65,-0.23,1.76
1,lsa(E),1.96,0.67,-0.87,1.85
1,optrA,1.91,0.65,-0.22,1.76
1,spw,0.22,-1.53,-2.04,-0.7
1,tet(40),1.91,0.65,-0.23,1.76
1,tet(44),1.91,0.65,-0.22,1.76
1,tet(L),1.91,0.65,-0.49,1.76
1,tet(M),7.5,2.01,0.94,3.52
1,tet(O),0.37,-1.0,-3.09,0.01
1,tet(O/W/32/O),1.13,0.13,-0.7,1.76
1,tet(T),0.8,-0.22,-0.88,1.76
1,tet(W),0.15,-1.89,-2.38,-1.3
1,vga(F),0.8,-0.22,-0.88,1.76
2,SAT-4,0.38,-0.97,-1.61,0.04
2,aad9,1.04,0.04,-0.79,1.68
2,ant(6)-Ia,0.06,-2.76,-3.19,-2.27
2,ant(6)-Ib,1.04,0.04,-0.79,1.68
2,aph(3')-III,0.73,-0.31,-0.97,1.68
2,erm(47),0.28,-1.27,-1.81,-0.57
2,erm(B),3.97,1.38,0.26,3.39
2,lnu(B),0.15,-1.89,-2.34,-1.27
2,lnu(C),1.76,0.56,-0.31,1.68
2,lsa(E),0.15,-1.89,-2.47,-1.26
2,optrA,1.76,0.56,-0.31,1.68
2,spw,0.2,-1.61,-2.05,-0.96
2,tet(40),1.76,0.56,-0.31,1.68
2,tet(44),1.76,0.56,-0.31,1.68
2,tet(L),1.76,0.56,-0.31,1.68
2,tet(M),0.09,-2.4,-2.87,-1.8
2,tet(O),0.03,-3.44,-3.92,-3.03
2,tet(O/W/32/O),1.04,0.04,-0.79,1.68
2,tet(T),0.73,-0.31,-0.97,1.68
2,tet(W),1479.0,7.3,6.43,8.41
2,vga(F),0.73,-0.31,-0.97,1.68
3,SAT-4,2223.0,7.71,7.71,7.71
3,aad9,2.57,0.94,0.12,2.58
3,ant(6)-Ia,39.0,3.66,3.27,4.25
3,ant(6)-Ib,2.57,0.94,0.12,2.58
3,aph(3')-III,171.0,5.14,2.58,6.44
3,erm(47),434.2,6.07,5.25,7.71
3,erm(B),2.58,0.95,-0.45,2.5
3,lnu(B),1.46,0.38,-1.27,1.87
3,lnu(C),4.33,1.47,0.6,2.58
3,lsa(E),1.46,0.38,-1.13,1.87
3,optrA,4.33,1.47,0.6,2.58
3,spw,1.96,0.67,-0.97,2.57
3,tet(40),4.33,1.47,0.6,2.58
3,tet(44),4.33,1.47,0.6,2.58
3,tet(L),4.33,1.47,0.6,2.58
