Cluster,Feature,Coefficient,Abs_Coefficient,CI_low,CI_high
1,erm(B),1.92,1.92,1.58,2.08
1,tet(M),1.39,1.39,0.11,1.89
1,tet(O),-1.17,1.17,-1.9,-0.54
1,SAT-4,0.0,0.0,0.0,0.0
1,aad9,0.0,0.0,0.0,0.0
1,ant(6)-Ia,0.0,0.0,-0.06,0.0
1,ant(6)-Ib,0.0,0.0,0.0,0.0
1,aph(3')-III,0.0,0.0,0.0,0.0
1,erm(47),0.0,0.0,0.0,0.0
1,lnu(B),0.0,0.0,0.0,0.05
1,lnu(C),0.0,0.0,0.0,0.0
1,lsa(E),0.0,0.0,0.0,0.05
1,optrA,0.0,0.0,0.0,0.0
1,spw,0.0,0.0,0.0,0.0
1,tet(40),0.0,0.0,0.0,0.0
1,tet(44),0.0,0.0,0.0,0.0
1,tet(L),0.0,0.0,0.0,0.0
1,tet(O/W/32/O),0.0,0.0,0.0,0.0
1,tet(T),0.0,0.0,0.0,0.0
1,tet(W),0.0,0.0,-0.09,0.0
1,vga(F),0.0,0.0,0.0,0.0
2,tet(W),2.96,2.96,2.72,3.21
2,SAT-4,0.0,0.0,0.0,0.0
2,aad9,0.0,0.0,0.0,0.0
2,ant(6)-Ia,0.0,0.0,0.0,0.0
2,ant(6)-Ib,0.0,0.0,0.0,0.0
2,aph(3')-III,0.0,0.0,0.0,0.0
2,erm(47),0.0,0.0,0.0,0.0
2,erm(B),0.0,0.0,0.0,0.0
2,lnu(B),0.0,0.0,0.0,0.0
2,lnu(C),0.0,0.0,0.0,0.0
2,lsa(E),0.0,0.0,0.0,0.0
2,optrA,0.0,0.0,0.0,0.0
2,spw,0.0,0.0,0.0,0.0
2,tet(40),0.0,0.0,0.0,0.0
2,tet(44),0.0,0.0,0.0,0.0
2,tet(L),0.0,0.0,0.0,0.0
2,tet(M),0.0,0.0,0.0,0.0
2,tet(O),0.0,0.0,0.0,0.0
2,tet(O/W/32/O),0.0,0.0,0.0,0.0
2,tet(T),0.0,0.0,0.0,0.0
2,vga(F),0.0,0.0,0.0,0.0
3,SAT-4,2.74,2.74,2.36,2.84
3,aad9,0.0,0.0,0.0,0.0
3,ant(6)-Ia,0.0,0.0,0.0,0.0
3,ant(6)-Ib,0.0,0.0,0.0,0.0
3,aph(3')-III,0.0,0.0,0.0,0.12
3,erm(47),0.0,0.0,0.0,0.0
3,erm(B),0.0,0.0,0.0,0.0
3,lnu(B),0.0,0.0,0.0,0.0
3,lnu(C),0.0,0.0,0.0,0.0
3,lsa(E),0.0,0.0,0.0,0.0
3,optrA,0.0,0.0,0.0,0.0
3,spw,0.0,0.0,0.0,0.0
3,tet(40),0.0,0.0,0.0,0.0
3,tet(44),0.0,0.0,0.0,0.0
3,tet(L),0.0,0.0,0.0,0.0
3,tet(M),0.0,0.0,0.0,0.0
3,tet(O),0.0,0.0,0.0,0.0
3,tet(O/W/32/O),0.0,0.0,0.0,0.0
3,tet(T),0.0,0.0,0.0,0.12
3,tet(W),0.0,0.0,0.0,0.0
3,vga(F),0.0,0.0,0.0,0.0
4,tet(O),-1.31,1.31,-1.49,-0.93
4,erm(B),-1.29,1.29,-1.56,-0.9
4,tet(M),-0.27,0.27,-0.77,0.0
4,SAT-4,0.0,0.0,0.0,0.0
4,aad9,0.0,0.0,0.0,0.0
4,ant(6)-Ia,0.0,0.0,0.0,0.0
4,ant(6)-Ib,0.0,0.0,0.0,0.0
4,aph(3')-III,0.0,0.0,0.0,0.0
4,erm(47),0.0,0.0,0.0,0.0
4,lnu(B),0.0,0.0,0.0,0.0
4,lnu(C),0.0,0.0,0.0,0.0
4,lsa(E),0.0,0.0,0.0,0.0
4,optrA,0.0,0.0,0.0,0.0
4,spw,0.0,0.0,0.0,0.0
4,tet(40),0.0,0.0,0.0,0.0
4,tet(44),0.0,0.0,0.0,0.0
4,tet(L),0.0,0.0,0.0,0.0
4,tet(O/W/32/O),0.0,0.0,0.0,0.0
4,tet(T),0.0,0.0,0.0,0.0
4,tet(W),0.0,0.0,0.0,0.0
4,vga(F),0.0,0.0,0.0,0.0
5,tet(M),2.5,2.5,1.99,2.71
5,erm(B),-1.68,1.68,-1.91,-1.18
5,SAT-4,0.0,0.0,0.0,0.0
5,aad9,0.0,0.0,0.0,0.0
5,ant(6)-Ia,0.0,0.0,0.0,0.0
5,ant(6)-Ib,0.0,0.0,0.0,0.13
5,aph(3')-III,0.0,0.0,0.0,0.0
5,erm(47),0.0,0.0,0.0,0.09
5,lnu(B),0.0,0.0,0.0,0.0
5,lnu(C),0.0,0.0,0.0,0.0
5,lsa(E),0.0,0.0,0.0,0.0
5,optrA,0.0,0.0,0.0,0.0
5,spw,0.0,0.0,0.0,0.0
5,tet(40),0.0,0.0,0.0,0.0
5,tet(44),0.0,0.0,0.0,0.0
5,tet(L),0.0,0.0,0.0,0.0
5,tet(O),0.0,0.0,-0.2,0.0
5,tet(O/W/32/O),0.0,0.0,0.0,0.0
5,tet(T),0.0,0.0,0.0,0.0
5,tet(W),0.0,0.0,0.0,0.0
5,vga(F),0.0,0.0,0.0,0.0
6,ant(6)-Ia,3.06,3.06,2.42,3.33
6,lnu(B),-0.33,0.33,-0.45,0.0
6,lsa(E),-0.33,0.33,-0.45,0.0
6,vga(F),0.12,0.12,0.0,0.33
6,tet(O),0.1,0.1,0.0,0.35
6,aad9,0.04,0.04,0.0,0.3
6,SAT-4,0.0,0.0,0.0,0.0
6,ant(6)-Ib,0.0,0.0,0.0,0.0
6,aph(3')-III,0.0,0.0,0.0,0.0
6,erm(47),0.0,0.0,0.0,0.0
6,erm(B),0.0,0.0,0.0,0.0
6,lnu(C),0.0,0.0,0.0,0.0
6,optrA,0.0,0.0,0.0,0.15
6,spw,0.0,0.0,-0.33,0.0
6,tet(40),0.0,0.0,0.0,0.15
6,tet(44),0.0,0.0,0.0,0.03
6,tet(L),0.0,0.0,0.0,0.03
6,tet(M),0.0,0.0,0.0,0.09
6,tet(O/W/32/O),0.0,0.0,0.0,0.17
6,tet(T),0.0,0.0,0.0,0.0
6,tet(W),0.0,0.0,0.0,0.0
7,spw,1.85,1.85,1.39,2.88
7,lnu(B),0.58,0.58,0.0,0.82
7,lsa(E),0.58,0.58,0.0,0.82
7,SAT-4,0.0,0.0,0.0,0.0
7,aad9,0.0,0.0,0.0,0.0
7,ant(6)-Ia,0.0,0.0,0.0,0.0
7,ant(6)-Ib,0.0,0.0,0.0,0.0
7,aph(3')-III,0.0,0.0,0.0,0.0
7,erm(47),0.0,0.0,0.0,0.0
7,erm(B),0.0,0.0,0.0,0.0
7,lnu(C),0.0,0.0,0.0,0.0
7,optrA,0.0,0.0,0.0,0.0
7,tet(40),0.0,0.0,0.0,0.0
7,tet(44),0.0,0.0,0.0,0.0
7,tet(L),0.0,0.0,0.0,0.0
7,tet(M),0.0,0.0,0.0,0.0
7,tet(O),0.0,0.0,0.0,0.0
7,tet(O/W/32/O),0.0,0.0,0.0,0.0
7,tet(T),0.0,0.0,0.0,0.0
7,tet(W),0.0,0.0,0.0,0.0
7,vga(F),0.0,0.0,0.0,0.0
8,erm(B),-1.64,1.64,-1.94,-1.39
8,tet(O),1.61,1.61,1.45,2.01
8,lnu(C),0.05,0.05,0.0,0.21
8,SAT-4,0.0,0.0,0.0,0.0
8,aad9,0.0,0.0,0.0,0.0
8,ant(6)-Ia,0.0,0.0,0.0,0.0
8,ant(6)-Ib,0.0,0.0,0.0,0.0
8,aph(3')-III,0.0,0.0,0.0,0.0
8,erm(47),0.0,0.0,0.0,0.0
8,lnu(B),0.0,0.0,0.0,0.0
8,lsa(E),0.0,0.0,0.0,0.0
8,optrA,0.0,0.0,0.0,0.0
8,spw,0.0,0.0,0.0,0.0
8,tet(40),0.0,0.0,0.0,0.0
8,tet(44),0.0,0.0,0.0,0.0
8,tet(L),0.0,0.0,0.0,0.0
8,tet(M),0.0,0.0,0.0,0.0
8,tet(O/W/32/O),0.0,0.0,0.0,0.0
8,tet(T),0.0,0.0,0.0,0.0
8,tet(W),0.0,0.0,0.0,0.0
8,vga(F),0.0,0.0,0.0,0.0
9,erm(B),1.13,1.13,0.9,1.38
9,tet(O),1.13,1.13,0.8,1.56
9,tet(M),-0.35,0.35,-0.83,0.0
9,SAT-4,0.0,0.0,0.0,0.0
9,aad9,0.0,0.0,0.0,0.0
9,ant(6)-Ia,0.0,0.0,-0.47,0.0
9,ant(6)-Ib,0.0,0.0,0.0,0.0
9,aph(3')-III,0.0,0.0,0.0,0.0
9,erm(47),0.0,0.0,0.0,0.0
9,lnu(B),0.0,0.0,0.0,0.0
9,lnu(C),0.0,0.0,0.0,0.0
9,lsa(E),0.0,0.0,0.0,0.0
9,optrA,0.0,0.0,0.0,0.0
9,spw,0.0,0.0,0.0,0.0
9,tet(40),0.0,0.0,0.0,0.0
