MIC_Cluster,AMR_Cluster,Virulence_Cluster,Count,Percentage,CI_low,CI_high
2,2,8,12,13.19,6.59,20.88
1,8,6,7,7.69,3.3,14.29
1,5,1,5,5.49,2.2,10.99
4,4,8,4,4.4,1.1,9.89
4,4,1,3,3.3,0.0,7.69
4,4,4,3,3.3,0.0,8.79
9,9,6,3,3.3,0.0,7.69
9,6,3,3,3.3,0.52,7.69
9,3,2,3,3.3,0.0,7.69
4,1,4,2,2.2,0.0,6.59
1,5,3,2,2.2,0.0,6.59
4,9,6,2,2.2,0.0,6.59
4,4,2,2,2.2,0.0,6.59
7,1,5,2,2.2,0.0,6.59
9,6,7,2,2.2,0.0,6.59
1,3,4,1,1.1,0.0,4.4
1,2,4,1,1.1,0.0,4.4
1,6,2,1,1.1,0.0,4.4
1,1,3,1,1.1,0.0,4.4
3,6,5,1,1.1,0.0,4.4
3,9,7,1,1.1,0.0,4.4
2,6,2,1,1.1,0.0,4.4
3,1,3,1,1.1,0.0,4.4
2,1,4,1,1.1,0.0,4.4
1,6,5,1,1.1,0.0,4.4
1,8,4,1,1.1,0.0,4.4
1,9,7,1,1.1,0.0,4.4
1,5,7,1,1.1,0.0,4.4
5,7,4,1,1.1,0.0,4.4
6,1,4,1,1.1,0.0,4.4
5,7,6,1,1.1,0.0,4.4
4,7,1,1,1.1,0.0,4.4
5,1,3,1,1.1,0.0,4.4
5,3,3,1,1.1,0.0,4.4
5,5,3,1,1.1,0.0,4.4
6,7,3,1,1.1,0.0,4.4
6,7,2,1,1.1,0.0,4.4
6,7,1,1,1.1,0.0,4.4
6,6,4,1,1.1,0.0,4.4
6,2,3,1,1.1,0.0,4.4
6,7,6,1,1.1,0.0,4.4
7,1,2,1,1.1,0.0,4.4
7,1,4,1,1.1,0.0,4.4
9,1,4,1,1.1,0.0,4.4
8,6,1,1,1.1,0.0,4.4
7,9,7,1,1.1,0.0,4.4
7,6,2,1,1.1,0.0,4.4
9,3,4,1,1.1,0.0,4.4
9,1,7,1,1.1,0.0,4.4
9,7,4,1,1.1,0.0,4.4
9,9,4,1,1.1,0.0,4.4
