Component_1,Component_2,Cluster
-0.08,0.03,1
-0.08,0.03,1
-0.08,0.03,1
0.29,-0.5,3
0.08,-0.43,5
0.08,-0.43,5
0.08,-0.08,9
0.08,-0.08,9
0.15,-0.32,2
0.15,-0.32,2
0.15,-0.32,2
0.15,-0.32,2
0.08,-0.08,9
-0.36,0.36,7
-0.36,0.36,7
-0.29,0.24,1
-0.08,0.03,1
-0.52,0.48,4
0.15,-0.32,2
0.15,-0.32,2
0.15,-0.32,2
0.15,-0.32,2
0.08,-0.08,9
-0.08,0.03,1
-0.52,0.48,4
0.08,-0.43,5
1.92,1.06,9
-0.08,0.03,1
-0.52,0.48,4
0.08,-0.08,9
0.08,-0.08,9
0.25,-0.54,6
0.08,-0.08,9
-0.02,-0.21,1
0.08,-0.08,9
0.15,-0.32,2
-0.29,0.24,1
0.88,0.21,3
0.08,-0.08,9
-0.08,0.03,1
0.25,-0.54,6
0.08,-0.08,9
0.15,0.04,7
0.08,-0.43,5
-0.36,0.02,4
0.08,-0.08,9
-0.08,0.03,1
-0.08,0.03,1
-0.08,0.03,1
0.08,-0.43,5
-0.52,0.48,4
0.25,-0.54,6
0.15,-0.32,2
-0.52,0.48,4
-0.52,0.48,4
-0.52,0.48,4
0.15,-0.32,2
-0.52,0.48,4
-0.52,0.48,4
-0.08,0.03,1
-0.52,0.48,4
-0.29,0.13,7
-0.52,0.48,4
-0.08,0.03,1
0.25,-0.54,6
-0.06,-0.11,2
-0.29,0.24,1
-0.52,0.48,4
-0.52,0.48,4
0.15,-0.32,2
-0.08,0.03,1
-0.08,0.03,1
0.4,-0.47,1
-0.52,0.48,4
-0.06,-0.11,2
0.04,-0.34,6
0.13,-0.15,9
-0.42,0.25,4
-0.08,0.03,1
-0.36,0.36,7
0.25,-0.54,6
-0.52,0.48,4
-0.36,0.36,7
2.64,2.09,9
0.83,-1.15,6
0.45,-0.39,3
-0.08,0.03,1
0.36,-0.17,9
0.08,-0.08,9
0.2,-0.28,8
-0.08,0.03,1
