antecedent,consequent,support,confidence,Cluster
Doxycycline,Oxytetracycline,0.86,1.0,1
Oxytetracycline,Doxycycline,0.86,0.86,1
Doxycycline,Tulathromycin,0.86,1.0,2
Tulathromycin,Doxycycline,0.86,0.86,2
Doxycycline,Spectinomycin,0.86,1.0,2
Spectinomycin,Doxycycline,0.86,0.86,2
Doxycycline,Oxytetracycline,0.86,1.0,2
Oxytetracycline,Doxycycline,0.86,0.86,2
Tulathromycin,Spectinomycin,1.0,1.0,2
Spectinomycin,Tulathromycin,1.0,1.0,2
Tulathromycin,Oxytetracycline,1.0,1.0,2
Oxytetracycline,Tulathromycin,1.0,1.0,2
Spectinomycin,Oxytetracycline,1.0,1.0,2
Oxytetracycline,Spectinomycin,1.0,1.0,2
Enrofloxacin,Doxycycline,0.33,1.0,3
Enrofloxacin,Tiamulin,0.33,1.0,3
Enrofloxacin,Tulathromycin,0.33,1.0,3
Enrofloxacin,Oxytetracycline,0.33,1.0,3
Penicillin,Doxycycline,0.33,1.0,3
Penicillin,Tiamulin,0.33,1.0,3
Penicillin,Tulathromycin,0.33,1.0,3
Penicillin,Oxytetracycline,0.33,1.0,3
Trimethoprim_Sulphamethoxazole,Doxycycline,0.33,1.0,3
Doxycycline,Tiamulin,1.0,1.0,3
Tiamulin,Doxycycline,1.0,1.0,3
Doxycycline,Tulathromycin,1.0,1.0,3
Tulathromycin,Doxycycline,1.0,1.0,3
Doxycycline,Oxytetracycline,1.0,1.0,3
Oxytetracycline,Doxycycline,1.0,1.0,3
Trimethoprim_Sulphamethoxazole,Tiamulin,0.33,1.0,3
Trimethoprim_Sulphamethoxazole,Tulathromycin,0.33,1.0,3
Trimethoprim_Sulphamethoxazole,Oxytetracycline,0.33,1.0,3
Tiamulin,Tulathromycin,1.0,1.0,3
Tulathromycin,Tiamulin,1.0,1.0,3
Tiamulin,Oxytetracycline,1.0,1.0,3
Oxytetracycline,Tiamulin,1.0,1.0,3
Tulathromycin,Oxytetracycline,1.0,1.0,3
Oxytetracycline,Tulathromycin,1.0,1.0,3
Tiamulin,Doxycycline,1.0,1.0,5
Doxycycline,Tiamulin,1.0,1.0,5
Tiamulin,Spectinomycin,1.0,1.0,5
Spectinomycin,Tiamulin,1.0,1.0,5
Tiamulin,Oxytetracycline,1.0,1.0,5
Oxytetracycline,Tiamulin,1.0,1.0,5
Doxycycline,Spectinomycin,1.0,1.0,5
Spectinomycin,Doxycycline,1.0,1.0,5
Doxycycline,Oxytetracycline,1.0,1.0,5
Oxytetracycline,Doxycycline,1.0,1.0,5
Spectinomycin,Oxytetracycline,1.0,1.0,5
Oxytetracycline,Spectinomycin,1.0,1.0,5
Doxycycline,Spectinomycin,0.86,1.0,6
Spectinomycin,Doxycycline,0.86,0.86,6
Doxycycline,Tiamulin,0.86,1.0,6
Tiamulin,Doxycycline,0.86,0.86,6
Doxycycline,Tulathromycin,0.86,1.0,6
Tulathromycin,Doxycycline,0.86,0.86,6
Doxycycline,Oxytetracycline,0.86,1.0,6
Oxytetracycline,Doxycycline,0.86,0.86,6
Spectinomycin,Tiamulin,1.0,1.0,6
Tiamulin,Spectinomycin,1.0,1.0,6
Spectinomycin,Tulathromycin,1.0,1.0,6
Tulathromycin,Spectinomycin,1.0,1.0,6
Spectinomycin,Oxytetracycline,1.0,1.0,6
Oxytetracycline,Spectinomycin,1.0,1.0,6
Tiamulin,Tulathromycin,1.0,1.0,6
Tulathromycin,Tiamulin,1.0,1.0,6
Tiamulin,Oxytetracycline,1.0,1.0,6
Oxytetracycline,Tiamulin,1.0,1.0,6
Tulathromycin,Oxytetracycline,1.0,1.0,6
Oxytetracycline,Tulathromycin,1.0,1.0,6
Doxycycline,Enrofloxacin,1.0,1.0,8
Enrofloxacin,Doxycycline,1.0,1.0,8
Doxycycline,Tulathromycin,1.0,1.0,8
Tulathromycin,Doxycycline,1.0,1.0,8
Doxycycline,Oxytetracycline,1.0,1.0,8
Oxytetracycline,Doxycycline,1.0,1.0,8
Enrofloxacin,Tulathromycin,1.0,1.0,8
Tulathromycin,Enrofloxacin,1.0,1.0,8
Enrofloxacin,Oxytetracycline,1.0,1.0,8
Oxytetracycline,Enrofloxacin,1.0,1.0,8
Tulathromycin,Oxytetracycline,1.0,1.0,8
Oxytetracycline,Tulathromycin,1.0,1.0,8
Doxycycline,Tulathromycin,1.0,1.0,9
Tulathromycin,Doxycycline,1.0,1.0,9
Doxycycline,Oxytetracycline,1.0,1.0,9
Oxytetracycline,Doxycycline,1.0,1.0,9
Tulathromycin,Oxytetracycline,1.0,1.0,9
Oxytetracycline,Tulathromycin,1.0,1.0,9
