Cluster,Row,Column,Phi
1,Doxycycline,Doxycycline,1.0
1,Doxycycline,Enrofloxacin,0.09
1,Doxycycline,Spectinomycin,0.09
1,Doxycycline,Tiamulin,0.09
1,Doxycycline,Trimethoprim_Sulphamethoxazole,0.09
1,Enrofloxacin,Doxycycline,0.09
1,Enrofloxacin,Enrofloxacin,1.0
1,Enrofloxacin,Spectinomycin,-0.05
1,Enrofloxacin,Tiamulin,1.0
1,Enrofloxacin,Trimethoprim_Sulphamethoxazole,1.0
1,Spectinomycin,Doxycycline,0.09
1,Spectinomycin,Enrofloxacin,-0.05
1,Spectinomycin,Spectinomycin,1.0
1,Spectinomycin,Tiamulin,-0.05
1,Spectinomycin,Trimethoprim_Sulphamethoxazole,-0.05
1,Tiamulin,Doxycycline,0.09
1,Tiamulin,Enrofloxacin,1.0
1,Tiamulin,Spectinomycin,-0.05
1,Tiamulin,Tiamulin,1.0
1,Tiamulin,Trimethoprim_Sulphamethoxazole,1.0
1,Trimethoprim_Sulphamethoxazole,Doxycycline,0.09
1,Trimethoprim_Sulphamethoxazole,Enrofloxacin,1.0
1,Trimethoprim_Sulphamethoxazole,Spectinomycin,-0.05
1,Trimethoprim_Sulphamethoxazole,Tiamulin,1.0
1,Trimethoprim_Sulphamethoxazole,Trimethoprim_Sulphamethoxazole,1.0
2,Doxycycline,Doxycycline,1.0
3,Enrofloxacin,Enrofloxacin,1.0
3,Enrofloxacin,Penicillin,-0.5
3,Enrofloxacin,Trimethoprim_Sulphamethoxazole,-0.5
3,Penicillin,Enrofloxacin,-0.5
3,Penicillin,Penicillin,1.0
3,Penicillin,Trimethoprim_Sulphamethoxazole,-0.5
3,Trimethoprim_Sulphamethoxazole,Enrofloxacin,-0.5
3,Trimethoprim_Sulphamethoxazole,Penicillin,-0.5
3,Trimethoprim_Sulphamethoxazole,Trimethoprim_Sulphamethoxazole,1.0
4,Spectinomycin,Spectinomycin,1.0
4,Spectinomycin,Tiamulin,0.68
4,Tiamulin,Spectinomycin,0.68
4,Tiamulin,Tiamulin,1.0
6,Doxycycline,Doxycycline,1.0
6,Doxycycline,Florfenicol,0.17
6,Doxycycline,Trimethoprim_Sulphamethoxazole,0.17
6,Florfenicol,Doxycycline,0.17
6,Florfenicol,Florfenicol,1.0
6,Florfenicol,Trimethoprim_Sulphamethoxazole,1.0
6,Trimethoprim_Sulphamethoxazole,Doxycycline,0.17
6,Trimethoprim_Sulphamethoxazole,Florfenicol,1.0
6,Trimethoprim_Sulphamethoxazole,Trimethoprim_Sulphamethoxazole,1.0
7,Oxytetracycline,Oxytetracycline,1.0
7,Oxytetracycline,Spectinomycin,-0.2
7,Oxytetracycline,Trimethoprim_Sulphamethoxazole,1.0
7,Spectinomycin,Oxytetracycline,-0.2
7,Spectinomycin,Spectinomycin,1.0
7,Spectinomycin,Trimethoprim_Sulphamethoxazole,-0.2
7,Trimethoprim_Sulphamethoxazole,Oxytetracycline,1.0
7,Trimethoprim_Sulphamethoxazole,Spectinomycin,-0.2
7,Trimethoprim_Sulphamethoxazole,Trimethoprim_Sulphamethoxazole,1.0
9,Ampicillin,Ampicillin,1.0
9,Ampicillin,Ceftiofur,0.68
9,Ampicillin,Gentamicin,-0.07
9,Ampicillin,Penicillin,0.68
9,Ampicillin,Trimethoprim_Sulphamethoxazole,-0.1
9,Ceftiofur,Ampicillin,0.68
9,Ceftiofur,Ceftiofur,1.0
9,Ceftiofur,Gentamicin,-0.1
9,Ceftiofur,Penicillin,1.0
9,Ceftiofur,Trimethoprim_Sulphamethoxazole,0.43
9,Gentamicin,Ampicillin,-0.07
9,Gentamicin,Ceftiofur,-0.1
9,Gentamicin,Gentamicin,1.0
9,Gentamicin,Penicillin,-0.1
9,Gentamicin,Trimethoprim_Sulphamethoxazole,-0.1
9,Penicillin,Ampicillin,0.68
9,Penicillin,Ceftiofur,1.0
9,Penicillin,Gentamicin,-0.1
9,Penicillin,Penicillin,1.0
9,Penicillin,Trimethoprim_Sulphamethoxazole,0.43
9,Trimethoprim_Sulphamethoxazole,Ampicillin,-0.1
9,Trimethoprim_Sulphamethoxazole,Ceftiofur,0.43
9,Trimethoprim_Sulphamethoxazole,Gentamicin,-0.1
9,Trimethoprim_Sulphamethoxazole,Penicillin,0.43
9,Trimethoprim_Sulphamethoxazole,Trimethoprim_Sulphamethoxazole,1.0
