Feature,ClusterA,ClusterB,Chi2,P_Value,Adjusted_P,FDR_Rejected
Amoxicillin_Clavulanic_acid,1,2,,1.0,1.0,False
Amoxicillin_Clavulanic_acid,1,3,,1.0,1.0,False
Amoxicillin_Clavulanic_acid,1,4,,1.0,1.0,False
Amoxicillin_Clavulanic_acid,1,5,,1.0,1.0,False
Amoxicillin_Clavulanic_acid,1,6,,1.0,1.0,False
Amoxicillin_Clavulanic_acid,1,7,,1.0,1.0,False
Amoxicillin_Clavulanic_acid,1,8,,1.0,1.0,False
Amoxicillin_Clavulanic_acid,1,9,,1.0,1.0,False
Amoxicillin_Clavulanic_acid,2,3,,1.0,1.0,False
Amoxicillin_Clavulanic_acid,2,4,,1.0,1.0,False
Amoxicillin_Clavulanic_acid,2,5,,1.0,1.0,False
Amoxicillin_Clavulanic_acid,2,6,,1.0,1.0,False
Amoxicillin_Clavulanic_acid,2,7,,1.0,1.0,False
Amoxicillin_Clavulanic_acid,2,8,,1.0,1.0,False
Amoxicillin_Clavulanic_acid,2,9,,1.0,1.0,False
Amoxicillin_Clavulanic_acid,3,4,,1.0,1.0,False
Amoxicillin_Clavulanic_acid,3,5,,1.0,1.0,False
Amoxicillin_Clavulanic_acid,3,6,,1.0,1.0,False
Amoxicillin_Clavulanic_acid,3,7,,1.0,1.0,False
Amoxicillin_Clavulanic_acid,3,8,,1.0,1.0,False
Amoxicillin_Clavulanic_acid,3,9,,1.0,1.0,False
Amoxicillin_Clavulanic_acid,4,5,,1.0,1.0,False
Amoxicillin_Clavulanic_acid,4,6,,1.0,1.0,False
Amoxicillin_Clavulanic_acid,4,7,,1.0,1.0,False
Amoxicillin_Clavulanic_acid,4,8,,1.0,1.0,False
Amoxicillin_Clavulanic_acid,4,9,,1.0,1.0,False
Amoxicillin_Clavulanic_acid,5,6,,1.0,1.0,False
Amoxicillin_Clavulanic_acid,5,7,,1.0,1.0,False
Amoxicillin_Clavulanic_acid,5,8,,1.0,1.0,False
Amoxicillin_Clavulanic_acid,5,9,,1.0,1.0,False
Amoxicillin_Clavulanic_acid,6,7,,1.0,1.0,False
Amoxicillin_Clavulanic_acid,6,8,,1.0,1.0,False
Amoxicillin_Clavulanic_acid,6,9,,1.0,1.0,False
Amoxicillin_Clavulanic_acid,7,8,,1.0,1.0,False
Amoxicillin_Clavulanic_acid,7,9,,1.0,1.0,False
Amoxicillin_Clavulanic_acid,8,9,,1.0,1.0,False
Ampicillin,1,2,,1.0,1.0,False
Ampicillin,1,3,,1.0,1.0,False
Ampicillin,1,4,,1.0,1.0,False
Ampicillin,1,5,,1.0,1.0,False
Ampicillin,1,6,,1.0,1.0,False
Ampicillin,1,7,,1.0,1.0,False
Ampicillin,1,8,,1.0,1.0,False
Ampicillin,1,9,,0.42,1.0,False
Ampicillin,2,3,,1.0,1.0,False
Ampicillin,2,4,,1.0,1.0,False
Ampicillin,2,5,,1.0,1.0,False
Ampicillin,2,6,,1.0,1.0,False
Ampicillin,2,7,,1.0,1.0,False
Ampicillin,2,8,,1.0,1.0,False
Ampicillin,2,9,,1.0,1.0,False
Ampicillin,3,4,,1.0,1.0,False
Ampicillin,3,5,,1.0,1.0,False
Ampicillin,3,6,,1.0,1.0,False
Ampicillin,3,7,,1.0,1.0,False
Ampicillin,3,8,,1.0,1.0,False
Ampicillin,3,9,,1.0,1.0,False
Ampicillin,4,5,,1.0,1.0,False
Ampicillin,4,6,,1.0,1.0,False
Ampicillin,4,7,,1.0,1.0,False
Ampicillin,4,8,,1.0,1.0,False
Ampicillin,4,9,,0.48,1.0,False
Ampicillin,5,6,,1.0,1.0,False
Ampicillin,5,7,,1.0,1.0,False
Ampicillin,5,8,,1.0,1.0,False
Ampicillin,5,9,,1.0,1.0,False
Ampicillin,6,7,,1.0,1.0,False
Ampicillin,6,8,,1.0,1.0,False
Ampicillin,6,9,,1.0,1.0,False
Ampicillin,7,8,,1.0,1.0,False
Ampicillin,7,9,,1.0,1.0,False
Ampicillin,8,9,,1.0,1.0,False
Ceftiofur,1,2,,1.0,1.0,False
Ceftiofur,1,3,,1.0,1.0,False
Ceftiofur,1,4,,1.0,1.0,False
Ceftiofur,1,5,,1.0,1.0,False
Ceftiofur,1,6,,1.0,1.0,False
Ceftiofur,1,7,,1.0,1.0,False
Ceftiofur,1,8,,1.0,1.0,False
Ceftiofur,1,9,,0.17,0.8463829787234043,False
Ceftiofur,2,3,,1.0,1.0,False
Ceftiofur,2,4,,1.0,1.0,False
Ceftiofur,2,5,,1.0,1.0,False
Ceftiofur,2,6,,1.0,1.0,False
Ceftiofur,2,7,,1.0,1.0,False
Ceftiofur,2,8,,1.0,1.0,False
Ceftiofur,2,9,,0.49,1.0,False
Ceftiofur,3,4,,1.0,1.0,False
Ceftiofur,3,5,,1.0,1.0,False
Ceftiofur,3,6,,1.0,1.0,False
Ceftiofur,3,7,,1.0,1.0,False
Ceftiofur,3,8,,1.0,1.0,False
