Cluster,Feature,Coefficient,Abs_Coefficient,CI_low,CI_high
1,Tulathromycin,-3.69,3.69,-3.79,-3.2
1,Tiamulin,-0.22,0.22,-0.8,0.0
1,Oxytetracycline,0.22,0.22,0.0,1.04
1,Enrofloxacin,0.19,0.19,0.0,0.5
1,Spectinomycin,-0.07,0.07,-0.96,0.0
1,Amoxicillin_Clavulanic_acid,0.0,0.0,0.0,0.0
1,Ampicillin,0.0,0.0,0.0,0.0
1,Ceftiofur,0.0,0.0,0.0,0.0
1,Doxycycline,0.0,0.0,0.0,0.0
1,Florfenicol,0.0,0.0,0.0,0.0
1,Gentamicin,0.0,0.0,0.0,0.0
1,Penicillin,0.0,0.0,0.0,0.0
1,Trimethoprim_Sulphamethoxazole,0.0,0.0,0.0,0.25
2,Spectinomycin,2.35,2.35,1.72,2.63
2,Tiamulin,-0.65,0.65,-1.03,-0.35
2,Amoxicillin_Clavulanic_acid,0.0,0.0,0.0,0.0
2,Ampicillin,0.0,0.0,0.0,0.0
2,Ceftiofur,0.0,0.0,0.0,0.0
2,Doxycycline,0.0,0.0,0.0,0.0
2,Enrofloxacin,0.0,0.0,0.0,0.0
2,Florfenicol,0.0,0.0,0.0,0.0
2,Gentamicin,0.0,0.0,0.0,0.0
2,Oxytetracycline,0.0,0.0,0.0,0.0
2,Penicillin,0.0,0.0,0.0,0.0
2,Trimethoprim_Sulphamethoxazole,0.0,0.0,0.0,0.0
2,Tulathromycin,0.0,0.0,0.0,0.0
3,Tiamulin,1.89,1.89,0.2,1.95
3,Spectinomycin,-0.42,0.42,-0.63,0.0
3,Penicillin,0.16,0.16,0.0,0.94
3,Enrofloxacin,0.12,0.12,0.0,1.15
3,Trimethoprim_Sulphamethoxazole,0.01,0.01,0.0,0.92
3,Amoxicillin_Clavulanic_acid,0.0,0.0,0.0,0.0
3,Ampicillin,0.0,0.0,0.0,0.0
3,Ceftiofur,0.0,0.0,0.0,0.0
3,Doxycycline,0.0,0.0,0.0,0.0
3,Florfenicol,0.0,0.0,0.0,0.0
3,Gentamicin,0.0,0.0,0.0,0.0
3,Oxytetracycline,0.0,0.0,0.0,0.0
3,Tulathromycin,0.0,0.0,0.0,0.0
4,Oxytetracycline,-3.03,3.03,-3.27,-2.23
4,Tulathromycin,-3.01,3.01,-3.11,-2.68
4,Amoxicillin_Clavulanic_acid,0.0,0.0,0.0,0.0
4,Ampicillin,0.0,0.0,0.0,0.0
4,Ceftiofur,0.0,0.0,0.0,0.0
4,Doxycycline,0.0,0.0,0.0,0.0
4,Enrofloxacin,0.0,0.0,0.0,0.0
4,Florfenicol,0.0,0.0,0.0,0.0
4,Gentamicin,0.0,0.0,0.0,0.0
4,Penicillin,0.0,0.0,0.0,0.0
4,Spectinomycin,0.0,0.0,0.0,0.0
4,Tiamulin,0.0,0.0,0.0,0.0
4,Trimethoprim_Sulphamethoxazole,0.0,0.0,0.0,0.0
5,Tulathromycin,-2.51,2.51,-2.65,-2.3
5,Tiamulin,1.42,1.42,1.02,2.08
5,Spectinomycin,1.03,1.03,0.0,1.29
5,Amoxicillin_Clavulanic_acid,0.0,0.0,0.0,0.0
5,Ampicillin,0.0,0.0,0.0,0.0
5,Ceftiofur,0.0,0.0,0.0,0.0
5,Doxycycline,0.0,0.0,0.0,0.0
5,Enrofloxacin,0.0,0.0,-0.03,0.0
5,Florfenicol,0.0,0.0,0.0,0.0
5,Gentamicin,0.0,0.0,0.0,0.0
5,Oxytetracycline,0.0,0.0,0.0,0.0
5,Penicillin,0.0,0.0,0.0,0.0
5,Trimethoprim_Sulphamethoxazole,0.0,0.0,0.0,0.0
6,Tiamulin,1.9,1.9,1.58,2.19
6,Spectinomycin,1.35,1.35,0.0,1.62
6,Florfenicol,0.07,0.07,0.0,0.32
6,Amoxicillin_Clavulanic_acid,0.0,0.0,0.0,0.0
6,Ampicillin,0.0,0.0,0.0,0.0
6,Ceftiofur,0.0,0.0,0.0,0.0
6,Doxycycline,0.0,0.0,-0.12,0.0
6,Enrofloxacin,0.0,0.0,-0.2,0.0
6,Gentamicin,0.0,0.0,0.0,0.0
6,Oxytetracycline,0.0,0.0,0.0,0.0
6,Penicillin,0.0,0.0,0.0,0.0
6,Trimethoprim_Sulphamethoxazole,0.0,0.0,-0.07,0.0
6,Tulathromycin,0.0,0.0,0.0,0.12
7,Doxycycline,-1.5,1.5,-2.59,0.0
7,Oxytetracycline,-1.5,1.5,-3.04,-0.24
7,Trimethoprim_Sulphamethoxazole,0.18,0.18,0.0,0.47
7,Amoxicillin_Clavulanic_acid,0.0,0.0,0.0,0.0
7,Ampicillin,0.0,0.0,0.0,0.0
7,Ceftiofur,0.0,0.0,0.0,0.0
7,Enrofloxacin,0.0,0.0,0.0,0.0
7,Florfenicol,0.0,0.0,0.0,0.0
7,Gentamicin,0.0,0.0,0.0,0.0
7,Penicillin,0.0,0.0,0.0,0.0
7,Spectinomycin,0.0,0.0,0.0,0.0
7,Tiamulin,0.0,0.0,0.0,0.0
7,Tulathromycin,0.0,0.0,0.0,0.13
8,Enrofloxacin,0.75,0.75,0.73,1.17
8,Amoxicillin_Clavulanic_acid,0.0,0.0,0.0,0.0
8,Ampicillin,0.0,0.0,0.0,0.0
8,Ceftiofur,0.0,0.0,0.0,0.0
8,Doxycycline,0.0,0.0,0.0,0.0
8,Florfenicol,0.0,0.0,0.0,0.0
8,Gentamicin,0.0,0.0,0.0,0.0
8,Oxytetracycline,0.0,0.0,0.0,0.0
8,Penicillin,0.0,0.0,0.0,0.0
8,Spectinomycin,0.0,0.0,0.0,0.0
8,Tiamulin,0.0,0.0,0.0,0.0
8,Trimethoprim_Sulphamethoxazole,0.0,0.0,0.0,0.0
8,Tulathromycin,0.0,0.0,0.0,0.0
9,Spectinomycin,-0.87,0.87,-1.56,-0.56
9,Enrofloxacin,-0.3,0.3,-0.35,0.0
9,Doxycycline,0.29,0.29,0.0,0.83
9,Ceftiofur,0.12,0.12,0.0,0.62
9,Tiamulin,-0.04,0.04,-0.28,0.0
9,Trimethoprim_Sulphamethoxazole,-0.01,0.01,-0.36,0.0
9,Gentamicin,0.01,0.01,0.0,0.09
9,Amoxicillin_Clavulanic_acid,0.0,0.0,0.0,0.0
9,Ampicillin,0.0,0.0,0.0,0.26
9,Florfenicol,0.0,0.0,0.0,0.0
9,Oxytetracycline,0.0,0.0,0.0,0.0
9,Penicillin,0.0,0.0,0.0,0.0
9,Tulathromycin,0.0,0.0,0.0,0.41
