antecedent,consequent,support,confidence,Cluster
 ABC_2, GrpE,1.0,1.0,1
 GrpE, ABC_2,1.0,1.0,1
 ABC_2, DnaJ,1.0,1.0,1
 DnaJ, ABC_2,1.0,1.0,1
 ABC_2, lytR,1.0,1.0,1
 lytR, ABC_2,1.0,1.0,1
 ABC_2, prsA,1.0,1.0,1
 prsA, ABC_2,1.0,1.0,1
 ABC_2, FBPS,1.0,1.0,1
 FBPS, ABC_2,1.0,1.0,1
 ABC_2, CodY,1.0,1.0,1
 CodY, ABC_2,1.0,1.0,1
 ABC_2, HtpsC,1.0,1.0,1
 HtpsC, ABC_2,1.0,1.0,1
 ABC_2, DivIVA,1.0,1.0,1
 DivIVA, ABC_2,1.0,1.0,1
 ABC_2, GroEL,1.0,1.0,1
 GroEL, ABC_2,1.0,1.0,1
 ABC_2, GAPDH,1.0,1.0,1
 GAPDH, ABC_2,1.0,1.0,1
 ABC_2, srtA,1.0,1.0,1
 srtA, ABC_2,1.0,1.0,1
 ABC_2, HAM1,1.0,1.0,1
 HAM1, ABC_2,1.0,1.0,1
 ABC_2, HP1538,1.0,1.0,1
 HP1538, ABC_2,1.0,1.0,1
 ABC_2, EF-Tu,1.0,1.0,1
 EF-Tu, ABC_2,1.0,1.0,1
 ABC_2, ldeS,1.0,1.0,1
 ldeS, ABC_2,1.0,1.0,1
 ABC_2, manN,1.0,1.0,1
 manN, ABC_2,1.0,1.0,1
 ABC_2, lhk,1.0,1.0,1
 lhk, ABC_2,1.0,1.0,1
 ABC_2, HrcA,1.0,1.0,1
 HrcA, ABC_2,1.0,1.0,1
 ABC_2, LuxS,1.0,1.0,1
 LuxS, ABC_2,1.0,1.0,1
 ABC_2, TraG,0.82,0.82,1
 TraG, ABC_2,0.82,1.0,1
 ABC_2, Stp,1.0,1.0,1
 Stp, ABC_2,1.0,1.0,1
 ABC_2, RggTR,1.0,1.0,1
 RggTR, ABC_2,1.0,1.0,1
 ABC_2, SspB,1.0,1.0,1
 SspB, ABC_2,1.0,1.0,1
 ABC_2, dltA,1.0,1.0,1
 dltA, ABC_2,1.0,1.0,1
 ABC_2, RelA,1.0,1.0,1
 RelA, ABC_2,1.0,1.0,1
 ABC_2, CovR,1.0,1.0,1
 CovR, ABC_2,1.0,1.0,1
 ABC_2, lhr,1.0,1.0,1
 lhr, ABC_2,1.0,1.0,1
 ABC_2, abpb,1.0,1.0,1
 abpb, ABC_2,1.0,1.0,1
 ABC_2, HtpsA,1.0,1.0,1
 HtpsA, ABC_2,1.0,1.0,1
 ABC_2, PepF,1.0,1.0,1
 PepF, ABC_2,1.0,1.0,1
 ABC_2, OTC,1.0,1.0,1
 OTC, ABC_2,1.0,1.0,1
 ABC_2, ciaH,1.0,1.0,1
 ciaH, ABC_2,1.0,1.0,1
 ABC_2, SspA,1.0,1.0,1
 SspA, ABC_2,1.0,1.0,1
 ABC_2, SsPep,1.0,1.0,1
 SsPep, ABC_2,1.0,1.0,1
 ABC_2, ClpX,1.0,1.0,1
 ClpX, ABC_2,1.0,1.0,1
 ABC_2, GidA,1.0,1.0,1
 GidA, ABC_2,1.0,1.0,1
 ABC_2, adhE,1.0,1.0,1
 adhE, ABC_2,1.0,1.0,1
 ABC_2, GntR,1.0,1.0,1
 GntR, ABC_2,1.0,1.0,1
 ABC_2, Cps2B,1.0,1.0,1
 Cps2B, ABC_2,1.0,1.0,1
 ABC_2, RelQ,1.0,1.0,1
 RelQ, ABC_2,1.0,1.0,1
 ABC_2, BgaC,1.0,1.0,1
 BgaC, ABC_2,1.0,1.0,1
 Hhly3, ABC_2,0.45,1.0,1
 ABC_2, yzpA,1.0,1.0,1
 yzpA, ABC_2,1.0,1.0,1
 ABC_2, agaR2,1.0,1.0,1
 agaR2, ABC_2,1.0,1.0,1
 ABC_2, HP1717,1.0,1.0,1
 HP1717, ABC_2,1.0,1.0,1
 ABC_2, PDH,1.0,1.0,1
 PDH, ABC_2,1.0,1.0,1
 ABC_2, Rex,1.0,1.0,1
 Rex, ABC_2,1.0,1.0,1
 ABC_2, SntA,1.0,1.0,1
 SntA, ABC_2,1.0,1.0,1
 ABC_2, ABC_1,1.0,1.0,1
 ABC_1, ABC_2,1.0,1.0,1
 ABC_2, GlnA,1.0,1.0,1
 GlnA, ABC_2,1.0,1.0,1
 ABC_2, LDH,1.0,1.0,1
 LDH, ABC_2,1.0,1.0,1
 ABC_2, ClpP,1.0,1.0,1
 ClpP, ABC_2,1.0,1.0,1
 ABC_2, ssnA,1.0,1.0,1
 ssnA, ABC_2,1.0,1.0,1
 ABC_2, VraSR,1.0,1.0,1
 VraSR, ABC_2,1.0,1.0,1
