Row,Column,Phi,Cluster
 LDH, LDH,,1
 Cps2E, LDH,,1
 Cps2F, LDH,,1
 Cps9E, LDH,,1
 manN, LDH,,1
 ArcD, LDH,,1
 SsPep, LDH,,1
 Fhb_1, LDH,,1
 agaR2, LDH,,1
 Cps2B, LDH,,1
 cps2G, LDH,,1
 Cps2J, LDH,,1
 cps2L, LDH,,1
 NeuB, LDH,,1
 MRP, LDH,,1
 SP1, LDH,,1
 ciaH, LDH,,1
 prsA, LDH,,1
 Ssa, LDH,,1
 abpb, LDH,,1
 sly, LDH,,1
 HtpsC, LDH,,1
 lhk, LDH,,1
 lhr, LDH,,1
 1910HR, LDH,,1
 1910HK, LDH,,1
 ssnA, LDH,,1
 RggTR, LDH,,1
 SntA, LDH,,1
 Sbp2, LDH,,1
 TraG, LDH,,1
 hylA, LDH,,1
 rfeA, LDH,,1
 Tran, LDH,,1
 Hhly3, LDH,,1
 yzpA, LDH,,1
 gh92, LDH,,1
 PnuC, LDH,,1
 cbp40omp40, LDH,,1
 HP1717, LDH,,1
 AtlAss, LDH,,1
 Fhbp, LDH,,1
 Fhb_2, LDH,,1
 ldeS, LDH,,1
 dltA, LDH,,1
 SspA, LDH,,1
 Zmp, LDH,,1
 atl_2, LDH,,1
 NisK, LDH,,1
 NisR, LDH,,1
 ABC_2, LDH,,1
 Sbp1, LDH,,1
 OppA, LDH,,1
 endoSS, LDH,,1
 PK, LDH,,1
 KAR, LDH,,1
 IMPDH_2, LDH,,1
 GlnA, LDH,,1
 HtpsA, LDH,,1
 LuxS, LDH,,1
 Ssads, LDH,,1
 RelQ, LDH,,1
 srtA, LDH,,1
 HP1083, LDH,,1
 ciaR, LDH,,1
 mnmE, LDH,,1
 HP1538, LDH,,1
 CovR, LDH,,1
 lytR, LDH,,1
 RelA, LDH,,1
 GidA, LDH,,1
 GdpP, LDH,,1
 Stp, LDH,,1
 GAPDH, LDH,,1
 adhE, LDH,,1
 Stk, LDH,,1
 ClpX, LDH,,1
 pepT, LDH,,1
 ClpP, LDH,,1
 SspB, LDH,,1
 DnaK, LDH,,1
 CodY, LDH,,1
 PepF, LDH,,1
 Eno, LDH,,1
 HAM1, LDH,,1
 Rex, LDH,,1
 HrcA, LDH,,1
 GrpE, LDH,,1
 DnaJ, LDH,,1
 GntR, LDH,,1
 FlpS, LDH,,1
 pgdA, LDH,,1
 VraSR, LDH,,1
 MsmK, LDH,,1
 OTC, LDH,,1
 argR, LDH,,1
 PGK, LDH,,1
 BgaC, LDH,,1
 DivIVA, LDH,,1
 FBPS, LDH,,1
 GroEL, LDH,,1
 EF-Tu, LDH,,1
 ABC_1, LDH,,1
 PDH, LDH,,1
 IMPDH_1, LDH,,1
 FBA, LDH,,1
 LDH, Cps2E,,1
 Cps2E, Cps2E,,1
 Cps2F, Cps2E,,1
 Cps9E, Cps2E,,1
 manN, Cps2E,,1
 ArcD, Cps2E,,1
 SsPep, Cps2E,,1
 Fhb_1, Cps2E,,1
 agaR2, Cps2E,,1
 Cps2B, Cps2E,,1
 cps2G, Cps2E,,1
 Cps2J, Cps2E,,1
 cps2L, Cps2E,,1
 NeuB, Cps2E,,1
 MRP, Cps2E,,1
 SP1, Cps2E,,1
 ciaH, Cps2E,,1
 prsA, Cps2E,,1
 Ssa, Cps2E,,1
 abpb, Cps2E,,1
 sly, Cps2E,,1
 HtpsC, Cps2E,,1
 lhk, Cps2E,,1
 lhr, Cps2E,,1
 1910HR, Cps2E,,1
 1910HK, Cps2E,,1
 ssnA, Cps2E,,1
 RggTR, Cps2E,,1
 SntA, Cps2E,,1
 Sbp2, Cps2E,,1
 TraG, Cps2E,,1
 hylA, Cps2E,,1
 rfeA, Cps2E,,1
 Tran, Cps2E,,1
 Hhly3, Cps2E,,1
 yzpA, Cps2E,,1
 gh92, Cps2E,,1
 PnuC, Cps2E,,1
 cbp40omp40, Cps2E,,1
 HP1717, Cps2E,,1
 AtlAss, Cps2E,,1
 Fhbp, Cps2E,,1
 Fhb_2, Cps2E,,1
 ldeS, Cps2E,,1
 dltA, Cps2E,,1
 SspA, Cps2E,,1
 Zmp, Cps2E,,1
 atl_2, Cps2E,,1
 NisK, Cps2E,,1
 NisR, Cps2E,,1
 ABC_2, Cps2E,,1
 Sbp1, Cps2E,,1
 OppA, Cps2E,,1
 endoSS, Cps2E,,1
 PK, Cps2E,,1
 KAR, Cps2E,,1
 IMPDH_2, Cps2E,,1
 GlnA, Cps2E,,1
 HtpsA, Cps2E,,1
 LuxS, Cps2E,,1
 Ssads, Cps2E,,1
 RelQ, Cps2E,,1
 srtA, Cps2E,,1
 HP1083, Cps2E,,1
 ciaR, Cps2E,,1
 mnmE, Cps2E,,1
 HP1538, Cps2E,,1
 CovR, Cps2E,,1
 lytR, Cps2E,,1
 RelA, Cps2E,,1
 GidA, Cps2E,,1
 GdpP, Cps2E,,1
 Stp, Cps2E,,1
 GAPDH, Cps2E,,1
 adhE, Cps2E,,1
 Stk, Cps2E,,1
 ClpX, Cps2E,,1
 pepT, Cps2E,,1
 ClpP, Cps2E,,1
 SspB, Cps2E,,1
 DnaK, Cps2E,,1
 CodY, Cps2E,,1
 PepF, Cps2E,,1
 Eno, Cps2E,,1
 HAM1, Cps2E,,1
 Rex, Cps2E,,1
 HrcA, Cps2E,,1
 GrpE, Cps2E,,1
 DnaJ, Cps2E,,1
 GntR, Cps2E,,1
 FlpS, Cps2E,,1
 pgdA, Cps2E,,1
 VraSR, Cps2E,,1
 MsmK, Cps2E,,1
 OTC, Cps2E,,1
 argR, Cps2E,,1
 PGK, Cps2E,,1
 BgaC, Cps2E,,1
 DivIVA, Cps2E,,1
 FBPS, Cps2E,,1
 GroEL, Cps2E,,1
 EF-Tu, Cps2E,,1
 ABC_1, Cps2E,,1
 PDH, Cps2E,,1
 IMPDH_1, Cps2E,,1
 FBA, Cps2E,,1
 LDH, Cps2F,,1
 Cps2E, Cps2F,,1
 Cps2F, Cps2F,,1
 Cps9E, Cps2F,,1
 manN, Cps2F,,1
 ArcD, Cps2F,,1
 SsPep, Cps2F,,1
 Fhb_1, Cps2F,,1
 agaR2, Cps2F,,1
 Cps2B, Cps2F,,1
 cps2G, Cps2F,,1
 Cps2J, Cps2F,,1
 cps2L, Cps2F,,1
 NeuB, Cps2F,,1
 MRP, Cps2F,,1
 SP1, Cps2F,,1
 ciaH, Cps2F,,1
 prsA, Cps2F,,1
 Ssa, Cps2F,,1
 abpb, Cps2F,,1
 sly, Cps2F,,1
 HtpsC, Cps2F,,1
 lhk, Cps2F,,1
 lhr, Cps2F,,1
 1910HR, Cps2F,,1
 1910HK, Cps2F,,1
 ssnA, Cps2F,,1
 RggTR, Cps2F,,1
 SntA, Cps2F,,1
 Sbp2, Cps2F,,1
 TraG, Cps2F,,1
 hylA, Cps2F,,1
 rfeA, Cps2F,,1
 Tran, Cps2F,,1
 Hhly3, Cps2F,,1
 yzpA, Cps2F,,1
 gh92, Cps2F,,1
 PnuC, Cps2F,,1
 cbp40omp40, Cps2F,,1
 HP1717, Cps2F,,1
 AtlAss, Cps2F,,1
 Fhbp, Cps2F,,1
 Fhb_2, Cps2F,,1
 ldeS, Cps2F,,1
 dltA, Cps2F,,1
 SspA, Cps2F,,1
 Zmp, Cps2F,,1
 atl_2, Cps2F,,1
 NisK, Cps2F,,1
 NisR, Cps2F,,1
 ABC_2, Cps2F,,1
 Sbp1, Cps2F,,1
 OppA, Cps2F,,1
 endoSS, Cps2F,,1
 PK, Cps2F,,1
 KAR, Cps2F,,1
 IMPDH_2, Cps2F,,1
 GlnA, Cps2F,,1
 HtpsA, Cps2F,,1
 LuxS, Cps2F,,1
 Ssads, Cps2F,,1
 RelQ, Cps2F,,1
 srtA, Cps2F,,1
 HP1083, Cps2F,,1
 ciaR, Cps2F,,1
 mnmE, Cps2F,,1
 HP1538, Cps2F,,1
 CovR, Cps2F,,1
 lytR, Cps2F,,1
 RelA, Cps2F,,1
 GidA, Cps2F,,1
 GdpP, Cps2F,,1
 Stp, Cps2F,,1
 GAPDH, Cps2F,,1
 adhE, Cps2F,,1
 Stk, Cps2F,,1
 ClpX, Cps2F,,1
 pepT, Cps2F,,1
 ClpP, Cps2F,,1
 SspB, Cps2F,,1
 DnaK, Cps2F,,1
 CodY, Cps2F,,1
 PepF, Cps2F,,1
 Eno, Cps2F,,1
 HAM1, Cps2F,,1
 Rex, Cps2F,,1
 HrcA, Cps2F,,1
 GrpE, Cps2F,,1
 DnaJ, Cps2F,,1
 GntR, Cps2F,,1
 FlpS, Cps2F,,1
 pgdA, Cps2F,,1
 VraSR, Cps2F,,1
 MsmK, Cps2F,,1
 OTC, Cps2F,,1
 argR, Cps2F,,1
 PGK, Cps2F,,1
 BgaC, Cps2F,,1
 DivIVA, Cps2F,,1
 FBPS, Cps2F,,1
 GroEL, Cps2F,,1
 EF-Tu, Cps2F,,1
 ABC_1, Cps2F,,1
 PDH, Cps2F,,1
 IMPDH_1, Cps2F,,1
 FBA, Cps2F,,1
 LDH, Cps9E,,1
 Cps2E, Cps9E,,1
 Cps2F, Cps9E,,1
 Cps9E, Cps9E,,1
 manN, Cps9E,,1
 ArcD, Cps9E,,1
 SsPep, Cps9E,,1
 Fhb_1, Cps9E,,1
 agaR2, Cps9E,,1
 Cps2B, Cps9E,,1
 cps2G, Cps9E,,1
 Cps2J, Cps9E,,1
 cps2L, Cps9E,,1
 NeuB, Cps9E,,1
 MRP, Cps9E,,1
 SP1, Cps9E,,1
 ciaH, Cps9E,,1
 prsA, Cps9E,,1
 Ssa, Cps9E,,1
 abpb, Cps9E,,1
 sly, Cps9E,,1
 HtpsC, Cps9E,,1
 lhk, Cps9E,,1
 lhr, Cps9E,,1
 1910HR, Cps9E,,1
 1910HK, Cps9E,,1
 ssnA, Cps9E,,1
 RggTR, Cps9E,,1
 SntA, Cps9E,,1
 Sbp2, Cps9E,,1
 TraG, Cps9E,,1
 hylA, Cps9E,,1
 rfeA, Cps9E,,1
 Tran, Cps9E,,1
 Hhly3, Cps9E,,1
 yzpA, Cps9E,,1
 gh92, Cps9E,,1
 PnuC, Cps9E,,1
 cbp40omp40, Cps9E,,1
 HP1717, Cps9E,,1
 AtlAss, Cps9E,,1
 Fhbp, Cps9E,,1
 Fhb_2, Cps9E,,1
 ldeS, Cps9E,,1
 dltA, Cps9E,,1
 SspA, Cps9E,,1
 Zmp, Cps9E,,1
 atl_2, Cps9E,,1
 NisK, Cps9E,,1
 NisR, Cps9E,,1
 ABC_2, Cps9E,,1
 Sbp1, Cps9E,,1
 OppA, Cps9E,,1
 endoSS, Cps9E,,1
 PK, Cps9E,,1
 KAR, Cps9E,,1
 IMPDH_2, Cps9E,,1
 GlnA, Cps9E,,1
 HtpsA, Cps9E,,1
 LuxS, Cps9E,,1
 Ssads, Cps9E,,1
 RelQ, Cps9E,,1
 srtA, Cps9E,,1
 HP1083, Cps9E,,1
 ciaR, Cps9E,,1
 mnmE, Cps9E,,1
 HP1538, Cps9E,,1
 CovR, Cps9E,,1
 lytR, Cps9E,,1
 RelA, Cps9E,,1
 GidA, Cps9E,,1
 GdpP, Cps9E,,1
 Stp, Cps9E,,1
 GAPDH, Cps9E,,1
 adhE, Cps9E,,1
 Stk, Cps9E,,1
 ClpX, Cps9E,,1
 pepT, Cps9E,,1
 ClpP, Cps9E,,1
 SspB, Cps9E,,1
 DnaK, Cps9E,,1
 CodY, Cps9E,,1
 PepF, Cps9E,,1
 Eno, Cps9E,,1
 HAM1, Cps9E,,1
 Rex, Cps9E,,1
 HrcA, Cps9E,,1
 GrpE, Cps9E,,1
 DnaJ, Cps9E,,1
 GntR, Cps9E,,1
 FlpS, Cps9E,,1
 pgdA, Cps9E,,1
 VraSR, Cps9E,,1
 MsmK, Cps9E,,1
 OTC, Cps9E,,1
 argR, Cps9E,,1
 PGK, Cps9E,,1
 BgaC, Cps9E,,1
 DivIVA, Cps9E,,1
 FBPS, Cps9E,,1
 GroEL, Cps9E,,1
 EF-Tu, Cps9E,,1
 ABC_1, Cps9E,,1
 PDH, Cps9E,,1
 IMPDH_1, Cps9E,,1
 FBA, Cps9E,,1
 LDH, manN,,1
 Cps2E, manN,,1
 Cps2F, manN,,1
 Cps9E, manN,,1
 manN, manN,,1
 ArcD, manN,,1
 SsPep, manN,,1
 Fhb_1, manN,,1
 agaR2, manN,,1
 Cps2B, manN,,1
 cps2G, manN,,1
 Cps2J, manN,,1
 cps2L, manN,,1
 NeuB, manN,,1
 MRP, manN,,1
 SP1, manN,,1
 ciaH, manN,,1
 prsA, manN,,1
 Ssa, manN,,1
 abpb, manN,,1
 sly, manN,,1
 HtpsC, manN,,1
 lhk, manN,,1
 lhr, manN,,1
 1910HR, manN,,1
 1910HK, manN,,1
 ssnA, manN,,1
 RggTR, manN,,1
 SntA, manN,,1
 Sbp2, manN,,1
 TraG, manN,,1
 hylA, manN,,1
 rfeA, manN,,1
 Tran, manN,,1
 Hhly3, manN,,1
 yzpA, manN,,1
 gh92, manN,,1
 PnuC, manN,,1
 cbp40omp40, manN,,1
 HP1717, manN,,1
 AtlAss, manN,,1
 Fhbp, manN,,1
 Fhb_2, manN,,1
 ldeS, manN,,1
 dltA, manN,,1
 SspA, manN,,1
 Zmp, manN,,1
 atl_2, manN,,1
 NisK, manN,,1
 NisR, manN,,1
 ABC_2, manN,,1
 Sbp1, manN,,1
 OppA, manN,,1
 endoSS, manN,,1
 PK, manN,,1
 KAR, manN,,1
 IMPDH_2, manN,,1
 GlnA, manN,,1
 HtpsA, manN,,1
 LuxS, manN,,1
 Ssads, manN,,1
 RelQ, manN,,1
 srtA, manN,,1
 HP1083, manN,,1
 ciaR, manN,,1
 mnmE, manN,,1
 HP1538, manN,,1
 CovR, manN,,1
 lytR, manN,,1
 RelA, manN,,1
 GidA, manN,,1
 GdpP, manN,,1
 Stp, manN,,1
 GAPDH, manN,,1
 adhE, manN,,1
 Stk, manN,,1
 ClpX, manN,,1
 pepT, manN,,1
 ClpP, manN,,1
 SspB, manN,,1
 DnaK, manN,,1
 CodY, manN,,1
 PepF, manN,,1
 Eno, manN,,1
 HAM1, manN,,1
 Rex, manN,,1
 HrcA, manN,,1
 GrpE, manN,,1
 DnaJ, manN,,1
 GntR, manN,,1
 FlpS, manN,,1
 pgdA, manN,,1
 VraSR, manN,,1
 MsmK, manN,,1
 OTC, manN,,1
 argR, manN,,1
 PGK, manN,,1
 BgaC, manN,,1
 DivIVA, manN,,1
 FBPS, manN,,1
 GroEL, manN,,1
 EF-Tu, manN,,1
 ABC_1, manN,,1
 PDH, manN,,1
 IMPDH_1, manN,,1
 FBA, manN,,1
 LDH, ArcD,,1
 Cps2E, ArcD,,1
 Cps2F, ArcD,,1
 Cps9E, ArcD,,1
 manN, ArcD,,1
 ArcD, ArcD,,1
 SsPep, ArcD,,1
 Fhb_1, ArcD,,1
 agaR2, ArcD,,1
 Cps2B, ArcD,,1
 cps2G, ArcD,,1
 Cps2J, ArcD,,1
 cps2L, ArcD,,1
 NeuB, ArcD,,1
 MRP, ArcD,,1
 SP1, ArcD,,1
 ciaH, ArcD,,1
 prsA, ArcD,,1
 Ssa, ArcD,,1
 abpb, ArcD,,1
 sly, ArcD,,1
 HtpsC, ArcD,,1
 lhk, ArcD,,1
 lhr, ArcD,,1
 1910HR, ArcD,,1
 1910HK, ArcD,,1
 ssnA, ArcD,,1
 RggTR, ArcD,,1
 SntA, ArcD,,1
 Sbp2, ArcD,,1
 TraG, ArcD,,1
 hylA, ArcD,,1
 rfeA, ArcD,,1
 Tran, ArcD,,1
 Hhly3, ArcD,,1
 yzpA, ArcD,,1
 gh92, ArcD,,1
 PnuC, ArcD,,1
 cbp40omp40, ArcD,,1
 HP1717, ArcD,,1
 AtlAss, ArcD,,1
 Fhbp, ArcD,,1
 Fhb_2, ArcD,,1
 ldeS, ArcD,,1
 dltA, ArcD,,1
 SspA, ArcD,,1
 Zmp, ArcD,,1
 atl_2, ArcD,,1
 NisK, ArcD,,1
 NisR, ArcD,,1
 ABC_2, ArcD,,1
 Sbp1, ArcD,,1
 OppA, ArcD,,1
 endoSS, ArcD,,1
 PK, ArcD,,1
 KAR, ArcD,,1
 IMPDH_2, ArcD,,1
 GlnA, ArcD,,1
 HtpsA, ArcD,,1
 LuxS, ArcD,,1
 Ssads, ArcD,,1
 RelQ, ArcD,,1
 srtA, ArcD,,1
 HP1083, ArcD,,1
 ciaR, ArcD,,1
 mnmE, ArcD,,1
 HP1538, ArcD,,1
 CovR, ArcD,,1
 lytR, ArcD,,1
 RelA, ArcD,,1
 GidA, ArcD,,1
 GdpP, ArcD,,1
 Stp, ArcD,,1
 GAPDH, ArcD,,1
 adhE, ArcD,,1
 Stk, ArcD,,1
 ClpX, ArcD,,1
 pepT, ArcD,,1
 ClpP, ArcD,,1
 SspB, ArcD,,1
 DnaK, ArcD,,1
 CodY, ArcD,,1
 PepF, ArcD,,1
 Eno, ArcD,,1
 HAM1, ArcD,,1
 Rex, ArcD,,1
 HrcA, ArcD,,1
 GrpE, ArcD,,1
 DnaJ, ArcD,,1
 GntR, ArcD,,1
 FlpS, ArcD,,1
 pgdA, ArcD,,1
 VraSR, ArcD,,1
 MsmK, ArcD,,1
 OTC, ArcD,,1
 argR, ArcD,,1
 PGK, ArcD,,1
 BgaC, ArcD,,1
 DivIVA, ArcD,,1
 FBPS, ArcD,,1
 GroEL, ArcD,,1
 EF-Tu, ArcD,,1
 ABC_1, ArcD,,1
 PDH, ArcD,,1
 IMPDH_1, ArcD,,1
 FBA, ArcD,,1
 LDH, SsPep,,1
 Cps2E, SsPep,,1
 Cps2F, SsPep,,1
 Cps9E, SsPep,,1
 manN, SsPep,,1
 ArcD, SsPep,,1
 SsPep, SsPep,,1
 Fhb_1, SsPep,,1
 agaR2, SsPep,,1
 Cps2B, SsPep,,1
 cps2G, SsPep,,1
 Cps2J, SsPep,,1
 cps2L, SsPep,,1
 NeuB, SsPep,,1
 MRP, SsPep,,1
 SP1, SsPep,,1
 ciaH, SsPep,,1
 prsA, SsPep,,1
 Ssa, SsPep,,1
 abpb, SsPep,,1
 sly, SsPep,,1
 HtpsC, SsPep,,1
 lhk, SsPep,,1
 lhr, SsPep,,1
 1910HR, SsPep,,1
 1910HK, SsPep,,1
 ssnA, SsPep,,1
 RggTR, SsPep,,1
 SntA, SsPep,,1
 Sbp2, SsPep,,1
 TraG, SsPep,,1
 hylA, SsPep,,1
 rfeA, SsPep,,1
 Tran, SsPep,,1
 Hhly3, SsPep,,1
 yzpA, SsPep,,1
 gh92, SsPep,,1
 PnuC, SsPep,,1
 cbp40omp40, SsPep,,1
 HP1717, SsPep,,1
 AtlAss, SsPep,,1
 Fhbp, SsPep,,1
 Fhb_2, SsPep,,1
 ldeS, SsPep,,1
 dltA, SsPep,,1
 SspA, SsPep,,1
 Zmp, SsPep,,1
 atl_2, SsPep,,1
 NisK, SsPep,,1
 NisR, SsPep,,1
 ABC_2, SsPep,,1
 Sbp1, SsPep,,1
 OppA, SsPep,,1
 endoSS, SsPep,,1
 PK, SsPep,,1
 KAR, SsPep,,1
 IMPDH_2, SsPep,,1
 GlnA, SsPep,,1
 HtpsA, SsPep,,1
 LuxS, SsPep,,1
 Ssads, SsPep,,1
 RelQ, SsPep,,1
 srtA, SsPep,,1
 HP1083, SsPep,,1
 ciaR, SsPep,,1
 mnmE, SsPep,,1
 HP1538, SsPep,,1
 CovR, SsPep,,1
 lytR, SsPep,,1
 RelA, SsPep,,1
 GidA, SsPep,,1
 GdpP, SsPep,,1
 Stp, SsPep,,1
 GAPDH, SsPep,,1
 adhE, SsPep,,1
 Stk, SsPep,,1
 ClpX, SsPep,,1
 pepT, SsPep,,1
 ClpP, SsPep,,1
 SspB, SsPep,,1
 DnaK, SsPep,,1
 CodY, SsPep,,1
 PepF, SsPep,,1
 Eno, SsPep,,1
 HAM1, SsPep,,1
 Rex, SsPep,,1
 HrcA, SsPep,,1
 GrpE, SsPep,,1
 DnaJ, SsPep,,1
 GntR, SsPep,,1
 FlpS, SsPep,,1
 pgdA, SsPep,,1
 VraSR, SsPep,,1
 MsmK, SsPep,,1
 OTC, SsPep,,1
 argR, SsPep,,1
 PGK, SsPep,,1
 BgaC, SsPep,,1
 DivIVA, SsPep,,1
 FBPS, SsPep,,1
 GroEL, SsPep,,1
 EF-Tu, SsPep,,1
 ABC_1, SsPep,,1
 PDH, SsPep,,1
 IMPDH_1, SsPep,,1
 FBA, SsPep,,1
 LDH, Fhb_1,,1
 Cps2E, Fhb_1,,1
 Cps2F, Fhb_1,,1
 Cps9E, Fhb_1,,1
 manN, Fhb_1,,1
 ArcD, Fhb_1,,1
 SsPep, Fhb_1,,1
 Fhb_1, Fhb_1,,1
 agaR2, Fhb_1,,1
 Cps2B, Fhb_1,,1
 cps2G, Fhb_1,,1
 Cps2J, Fhb_1,,1
 cps2L, Fhb_1,,1
 NeuB, Fhb_1,,1
 MRP, Fhb_1,,1
 SP1, Fhb_1,,1
 ciaH, Fhb_1,,1
 prsA, Fhb_1,,1
 Ssa, Fhb_1,,1
 abpb, Fhb_1,,1
 sly, Fhb_1,,1
 HtpsC, Fhb_1,,1
 lhk, Fhb_1,,1
 lhr, Fhb_1,,1
 1910HR, Fhb_1,,1
 1910HK, Fhb_1,,1
 ssnA, Fhb_1,,1
 RggTR, Fhb_1,,1
 SntA, Fhb_1,,1
 Sbp2, Fhb_1,,1
 TraG, Fhb_1,,1
 hylA, Fhb_1,,1
 rfeA, Fhb_1,,1
 Tran, Fhb_1,,1
 Hhly3, Fhb_1,,1
 yzpA, Fhb_1,,1
 gh92, Fhb_1,,1
 PnuC, Fhb_1,,1
 cbp40omp40, Fhb_1,,1
 HP1717, Fhb_1,,1
 AtlAss, Fhb_1,,1
 Fhbp, Fhb_1,,1
 Fhb_2, Fhb_1,,1
 ldeS, Fhb_1,,1
 dltA, Fhb_1,,1
 SspA, Fhb_1,,1
 Zmp, Fhb_1,,1
 atl_2, Fhb_1,,1
 NisK, Fhb_1,,1
 NisR, Fhb_1,,1
 ABC_2, Fhb_1,,1
 Sbp1, Fhb_1,,1
 OppA, Fhb_1,,1
 endoSS, Fhb_1,,1
 PK, Fhb_1,,1
 KAR, Fhb_1,,1
 IMPDH_2, Fhb_1,,1
 GlnA, Fhb_1,,1
 HtpsA, Fhb_1,,1
 LuxS, Fhb_1,,1
 Ssads, Fhb_1,,1
 RelQ, Fhb_1,,1
 srtA, Fhb_1,,1
 HP1083, Fhb_1,,1
 ciaR, Fhb_1,,1
 mnmE, Fhb_1,,1
 HP1538, Fhb_1,,1
 CovR, Fhb_1,,1
 lytR, Fhb_1,,1
 RelA, Fhb_1,,1
 GidA, Fhb_1,,1
 GdpP, Fhb_1,,1
 Stp, Fhb_1,,1
 GAPDH, Fhb_1,,1
 adhE, Fhb_1,,1
 Stk, Fhb_1,,1
 ClpX, Fhb_1,,1
 pepT, Fhb_1,,1
 ClpP, Fhb_1,,1
 SspB, Fhb_1,,1
 DnaK, Fhb_1,,1
 CodY, Fhb_1,,1
 PepF, Fhb_1,,1
 Eno, Fhb_1,,1
 HAM1, Fhb_1,,1
 Rex, Fhb_1,,1
 HrcA, Fhb_1,,1
 GrpE, Fhb_1,,1
