Feature,ClusterA,ClusterB,Chi2,P_Value,Adjusted_P,FDR_Rejected
 LDH,1,2,,1.0,1.0,False
 LDH,1,3,,1.0,1.0,False
 LDH,1,4,,1.0,1.0,False
 LDH,1,5,,1.0,1.0,False
 LDH,1,6,,1.0,1.0,False
 LDH,1,7,,1.0,1.0,False
 LDH,1,8,,1.0,1.0,False
 LDH,2,3,,1.0,1.0,False
 LDH,2,4,,1.0,1.0,False
 LDH,2,5,,1.0,1.0,False
 LDH,2,6,,1.0,1.0,False
 LDH,2,7,,1.0,1.0,False
 LDH,2,8,,1.0,1.0,False
 LDH,3,4,,1.0,1.0,False
 LDH,3,5,,1.0,1.0,False
 LDH,3,6,,1.0,1.0,False
 LDH,3,7,,1.0,1.0,False
 LDH,3,8,,1.0,1.0,False
 LDH,4,5,,1.0,1.0,False
 LDH,4,6,,1.0,1.0,False
 LDH,4,7,,1.0,1.0,False
 LDH,4,8,,1.0,1.0,False
 LDH,5,6,,1.0,1.0,False
 LDH,5,7,,1.0,1.0,False
 LDH,5,8,,1.0,1.0,False
 LDH,6,7,,1.0,1.0,False
 LDH,6,8,,1.0,1.0,False
 LDH,7,8,,1.0,1.0,False
 Cps2E,1,2,,1.0,1.0,False
 Cps2E,1,3,,1.0,1.0,False
 Cps2E,1,4,,0.13,1.0,False
 Cps2E,1,5,,1.0,1.0,False
 Cps2E,1,6,,0.0,0.0,True
 Cps2E,1,7,,1.0,1.0,False
 Cps2E,1,8,,1.0,1.0,False
 Cps2E,2,3,,1.0,1.0,False
 Cps2E,2,4,,0.26,1.0,False
 Cps2E,2,5,,1.0,1.0,False
 Cps2E,2,6,,0.0,0.0,True
 Cps2E,2,7,,1.0,1.0,False
 Cps2E,2,8,,1.0,1.0,False
 Cps2E,3,4,,0.12,1.0,False
 Cps2E,3,5,,1.0,1.0,False
 Cps2E,3,6,,0.0,0.0,True
 Cps2E,3,7,,1.0,1.0,False
 Cps2E,3,8,,1.0,1.0,False
 Cps2E,4,5,,0.55,1.0,False
 Cps2E,4,6,,0.0,0.0,True
 Cps2E,4,7,,0.28,1.0,False
 Cps2E,4,8,,0.34,1.0,False
 Cps2E,5,6,,0.0,0.0,True
 Cps2E,5,7,,1.0,1.0,False
 Cps2E,5,8,,1.0,1.0,False
 Cps2E,6,7,,0.0,0.0,True
 Cps2E,6,8,,0.0,0.0,True
 Cps2E,7,8,,1.0,1.0,False
 Cps2F,1,2,,1.0,1.0,False
 Cps2F,1,3,,1.0,1.0,False
 Cps2F,1,4,,1.0,1.0,False
 Cps2F,1,5,,1.0,1.0,False
 Cps2F,1,6,,0.0,0.0,True
 Cps2F,1,7,,1.0,1.0,False
 Cps2F,1,8,,1.0,1.0,False
 Cps2F,2,3,,1.0,1.0,False
 Cps2F,2,4,,1.0,1.0,False
 Cps2F,2,5,,1.0,1.0,False
 Cps2F,2,6,,0.0,0.0,True
 Cps2F,2,7,,1.0,1.0,False
 Cps2F,2,8,,1.0,1.0,False
 Cps2F,3,4,,1.0,1.0,False
 Cps2F,3,5,,1.0,1.0,False
 Cps2F,3,6,,0.0,0.0,True
