Feature,Log_Odds_Ratio
 LDH,0.0
 Cps2E,-1.33
 Cps2F,-1.62
 Cps9E,0.61
 manN,0.0
 ArcD,0.0
 SsPep,2.34
 Fhb_1,-1.62
 agaR2,0.0
 Cps2B,0.0
 cps2G,-1.62
 Cps2J,-1.62
 cps2L,-1.33
 NeuB,-1.14
 MRP,1.98
 SP1,0.56
 ciaH,0.0
 prsA,0.0
 Ssa,3.38
 abpb,2.21
 sly,0.52
 HtpsC,2.34
 lhk,4.5
 lhr,4.5
 1910HR,0.56
 1910HK,0.56
 ssnA,3.8
 RggTR,-0.81
 SntA,3.8
 Sbp2,-1.03
 TraG,1.33
 hylA,-4.5
 rfeA,-3.8
 Tran,-0.92
 Hhly3,-1.14
 yzpA,2.21
 gh92,0.56
 PnuC,-4.5
 cbp40omp40,-3.8
 HP1717,0.0
 AtlAss,0.0
 Fhbp,-4.5
 Fhb_2,-3.38
 ldeS,1.98
 dltA,2.65
 SspA,0.0
 Zmp,3.8
 atl_2,0.56
 NisK,0.0
 NisR,0.0
 ABC_2,2.65
 Sbp1,-0.15
 OppA,0.0
 endoSS,0.56
 PK,0.0
 KAR,0.0
 IMPDH_2,0.0
 GlnA,0.0
 HtpsA,0.0
 LuxS,0.0
 Ssads,-1.08
 RelQ,0.0
 srtA,4.5
 HP1083,0.0
 ciaR,0.0
 mnmE,0.0
 HP1538,4.5
 CovR,0.0
 lytR,0.0
 RelA,0.0
 GidA,0.0
 GdpP,0.0
 Stp,4.5
 GAPDH,0.0
 adhE,0.0
 Stk,0.0
 ClpX,0.0
 pepT,0.0
 ClpP,0.0
 SspB,3.8
 DnaK,0.0
 CodY,0.0
 PepF,0.0
 Eno,0.0
 HAM1,0.0
 Rex,0.0
 HrcA,0.0
 GrpE,4.5
 DnaJ,0.0
 GntR,0.0
 FlpS,0.0
 pgdA,4.5
 VraSR,0.0
 MsmK,0.0
 OTC,0.0
 argR,0.0
 PGK,0.0
 BgaC,0.0
 DivIVA,0.0
 FBPS,0.0
 GroEL,0.0
 EF-Tu,0.0
 ABC_1,0.0
 PDH,0.0
 IMPDH_1,0.0
 FBA,0.0
