Cluster,Feature,Odds_Ratio,Log_Odds_Ratio,CI_low,CI_high
1, LDH,0.14,-1.95,-1.95,-1.95
1, Cps2E,0.14,-1.99,-2.42,-1.43
1, Cps2F,0.18,-1.69,-2.18,-1.12
1, Cps9E,15.41,2.74,2.3,3.18
1, manN,0.14,-1.95,-1.95,-1.95
1, ArcD,0.14,-1.95,-1.95,-1.95
1, SsPep,2.7,0.99,0.3,1.53
1, Fhb_1,0.18,-1.69,-2.18,-1.12
1, agaR2,0.14,-1.95,-1.95,-1.95
1, Cps2B,0.14,-1.95,-1.95,-1.95
1, cps2G,0.18,-1.69,-2.24,-0.99
1, Cps2J,0.18,-1.69,-2.3,-0.99
1, cps2L,0.14,-1.99,-2.42,-1.43
1, NeuB,0.11,-2.18,-2.63,-1.69
1, MRP,3.81,1.34,0.7,1.77
1, SP1,1.47,0.38,-0.95,2.47
1, ciaH,0.14,-1.95,-1.95,-1.95
1, prsA,0.14,-1.95,-1.95,-1.95
1, Ssa,1.04,0.04,-1.95,0.85
1, abpb,3.06,1.12,0.3,1.61
1, sly,0.02,-4.03,-4.58,-3.59
1, HtpsC,2.7,0.99,0.04,1.53
1, lhk,0.43,-0.83,-1.95,0.3
1, lhr,0.43,-0.83,-1.95,0.04
1, 1910HR,0.02,-4.09,-4.58,-3.64
1, 1910HK,0.02,-4.09,-4.58,-3.64
1, ssnA,0.73,-0.31,-1.95,0.7
1, RggTR,83.46,4.42,3.91,5.04
1, SntA,0.73,-0.31,-1.95,0.52
1, Sbp2,0.1,-2.3,-2.79,-1.77
1, TraG,1.05,0.05,-1.1,2.05
1, hylA,2.3,0.83,-0.3,1.95
1, rfeA,1.37,0.31,-0.52,1.95
1, Tran,0.09,-2.41,-2.84,-1.99
1, Hhly3,3.07,1.12,-0.19,2.29
1, yzpA,3.06,1.12,0.3,1.69
1, gh92,0.02,-4.09,-4.58,-3.64
1, PnuC,2.3,0.83,-0.04,1.95
1, cbp40omp40,1.37,0.31,-0.52,1.95
1, HP1717,0.14,-1.95,-1.95,-1.95
1, AtlAss,7.0,1.95,1.95,1.95
1, Fhbp,2.3,0.83,-0.04,1.95
1, Fhb_2,0.96,-0.04,-0.85,1.95
1, ldeS,3.81,1.34,0.7,1.85
1, dltA,2.01,0.7,-0.31,1.23
1, SspA,0.14,-1.95,-1.95,-1.95
1, Zmp,0.73,-0.31,-1.95,0.52
1, atl_2,0.06,-2.84,-4.35,-1.78
1, NisK,7.0,1.95,1.95,1.95
