Strain_ID,tetA,tetM,ermB,mefA,blaTEM,aph3,aadA
S0001,1,0,1,0,0,0,0
S0002,0,1,0,0,1,0,0
S0003,0,0,0,0,0,0,0
S0004,0,1,1,0,1,1,0
S0005,1,1,1,1,0,0,0
S0006,1,0,0,1,1,0,0
S0007,1,0,0,0,0,1,0
S0008,0,1,1,0,0,1,0
S0009,0,0,0,1,1,1,0
S0010,0,0,0,0,0,0,0
S0011,1,0,0,0,0,0,0
S0012,0,0,1,0,1,0,0
S0013,0,1,1,0,1,1,0
S0014,1,1,0,1,0,1,0
S0015,1,1,1,1,0,0,1
S0016,1,1,0,0,0,0,1
S0017,1,1,0,0,0,0,0
S0018,1,0,1,0,0,1,0
S0019,1,1,1,0,0,1,0
S0020,1,1,1,0,1,0,0
S0021,0,1,1,0,1,0,0
S0022,1,1,0,1,1,0,0
S0023,1,0,0,0,0,1,0
S0024,1,0,0,0,0,1,0
S0025,1,0,0,1,0,1,0
S0026,0,0,0,1,0,0,0
S0027,1,1,1,0,0,0,0
S0028,1,1,0,0,1,0,0
S0029,0,0,1,0,0,0,0
S0030,1,1,1,0,0,1,0
S0031,0,0,1,0,0,1,0
S0032,1,0,0,1,1,1,1
S0033,1,0,0,0,0,1,0
S0034,0,0,0,0,0,0,0
S0035,0,1,0,0,0,0,0
S0036,0,0,1,0,1,1,0
S0037,1,1,0,1,0,1,0
S0038,1,1,0,1,1,0,0
S0039,0,0,1,0,1,0,0
S0040,1,1,0,0,0,0,0
S0041,1,1,1,0,0,1,0
S0042,1,0,1,0,1,0,0
S0043,1,0,1,0,0,0,0
S0044,0,0,0,0,0,0,0
S0045,1,0,0,0,1,0,0
S0046,0,0,1,0,1,0,1
S0047,1,1,0,0,1,0,0
S0048,1,1,1,0,1,0,0
S0049,1,0,1,0,0,0,0
S0050,1,0,1,0,0,0,0
S0051,0,1,0,0,1,0,0
S0052,0,0,0,1,0,1,0
S0053,0,0,1,0,0,0,0
S0054,0,0,0,0,1,0,0
S0055,0,1,0,0,0,1,0
S0056,0,0,0,0,0,0,0
S0057,1,1,1,0,0,0,0
S0058,1,1,1,0,0,0,0
S0059,1,0,0,1,0,0,0
S0060,1,1,0,0,0,0,0
S0061,1,0,1,0,0,0,0
S0062,1,1,1,0,0,0,1
S0063,0,1,0,0,1,0,0
S0064,1,1,0,0,0,0,0
S0065,1,0,1,1,1,0,0
S0066,1,1,1,0,0,0,0
S0067,1,0,1,1,0,0,0
S0068,0,0,1,1,1,0,0
S0069,1,0,0,0,0,1,0
S0070,0,1,0,0,1,0,0
S0071,0,1,1,0,0,0,0
S0072,1,0,1,0,1,0,1
S0073,1,1,1,0,0,0,0
S0074,0,0,1,0,1,0,0
S0075,0,1,0,0,0,1,0
S0076,0,0,0,0,1,1,1
S0077,0,1,1,1,0,0,0
S0078,1,0,1,0,0,1,0
S0079,1,1,1,1,1,0,1
S0080,1,0,1,0,0,0,1
S0081,0,0,1,0,0,0,0
S0082,0,0,0,0,0,1,0
S0083,1,1,0,0,0,0,0
S0084,1,1,0,1,0,0,0
S0085,1,0,0,1,0,0,1
S0086,1,1,0,1,1,0,0
S0087,0,1,0,0,0,0,0
S0088,0,1,0,0,0,0,0
S0089,0,1,0,1,1,0,0
S0090,1,0,0,1,1,0,0
S0091,1,0,0,1,0,0,0
S0092,0,1,0,0,0,0,0
S0093,0,1,1,0,0,0,0
S0094,0,1,0,1,0,0,0
S0095,0,0,0,0,0,1,0
S0096,1,0,0,1,0,0,0
S0097,1,1,1,1,0,0,0
S0098,1,1,0,0,0,0,0
S0099,1,1,1,1,1,0,0
S0100,1,1,0,1,1,0,0
