Strain_ID,Phylo_Clade,MLST,Serotype
S0001,1,13,1
S0002,2,21,4
S0003,3,33,16
S0004,1,13,2
S0005,2,21,4
S0006,3,31,16
S0007,1,13,2
S0008,2,22,4
S0009,3,33,5
S0010,1,13,9
S0011,2,23,4
S0012,3,33,14
S0013,1,11,2
S0014,2,23,4
S0015,3,32,5
S0016,1,11,9
S0017,2,22,7
S0018,3,32,16
S0019,1,12,1
S0020,2,22,3
S0021,3,31,5
S0022,1,11,1
S0023,2,22,3
S0024,3,32,16
S0025,1,11,1
S0026,2,21,7
S0027,3,31,16
S0028,1,13,2
S0029,2,23,4
S0030,3,33,14
S0031,1,12,1
S0032,2,23,7
S0033,3,32,5
S0034,1,12,9
S0035,2,23,4
S0036,3,32,16
S0037,1,13,9
S0038,2,23,4
S0039,3,31,16
S0040,1,13,2
S0041,2,21,4
S0042,3,33,16
S0043,1,13,9
S0044,2,21,3
S0045,3,31,5
S0046,1,13,1
S0047,2,22,4
S0048,3,31,16
S0049,1,12,2
S0050,2,22,7
S0051,3,32,14
S0052,1,11,2
S0053,2,22,4
S0054,3,31,16
S0055,1,12,2
S0056,2,23,4
S0057,3,33,16
S0058,1,11,2
S0059,2,23,7
S0060,3,33,16
S0061,1,12,1
S0062,2,21,4
S0063,3,32,14
S0064,1,12,9
S0065,2,22,3
S0066,3,32,5
S0067,1,12,9
S0068,2,22,7
S0069,3,32,5
S0070,1,11,9
S0071,2,23,3
S0072,3,32,14
S0073,1,12,1
S0074,2,22,3
S0075,3,32,16
S0076,1,12,2
S0077,2,22,4
S0078,3,33,14
S0079,1,13,2
S0080,2,22,7
S0081,3,33,5
S0082,1,11,1
S0083,2,22,3
S0084,3,31,5
S0085,1,11,2
S0086,2,22,7
S0087,3,33,16
S0088,1,11,1
S0089,2,22,3
S0090,3,31,16
S0091,1,11,2
S0092,2,21,3
S0093,3,31,5
S0094,1,13,2
S0095,2,21,4
S0096,3,31,14
S0097,1,11,1
S0098,2,23,4
S0099,3,31,14
S0100,1,11,2
