Strain,MGE_Type,Position
Strain_034,ISStin2,120195
Strain_087,ISStin2,1569640
Strain_065,ISStin2,713517
Strain_055,IS1562,212265
Strain_074,Tn916,1409351
Strain_001,ISEc36,1320502
Strain_038,Tn5801,1461718
Strain_009,ISEc36,298462
Strain_071,ISStin2,1442278
Strain_017,IS1562,1937993
Strain_052,ISStin2,1996802
Strain_018,ISEc36,143585
Strain_063,Tn916,1364462
Strain_033,Tn5801,402408
Strain_004,Tn916,526542
Strain_087,IS26,1706886
Strain_075,IS1562,1557459
Strain_052,Tn916,642353
Strain_009,IS1562,476526
Strain_064,ISStin2,1801009
Strain_030,IS26,973623
Strain_008,ISEc36,1027510
Strain_005,Tn916,433963
Strain_076,Tn916,1517878
Strain_063,ISSsu7,538292
Strain_001,Tn5801,1348509
Strain_015,ISEc36,851679
Strain_089,Tn916,1592185
Strain_082,Tn916,889575
Strain_038,ISEc36,856701
Strain_042,IS26,1468225
Strain_046,IS1562,1554209
Strain_053,ISEc36,262372
Strain_026,IS1562,1439616
Strain_061,IS26,1920405
Strain_067,IS26,858339
Strain_054,ISStin2,1461349
Strain_022,ISSsu7,1569398
Strain_026,IS26,1712780
Strain_083,IS26,161330
Strain_060,IS1562,893983
Strain_039,IS26,463116
Strain_036,ISEc36,1530343
Strain_021,ISStin2,1860358
Strain_041,ISStin2,1657644
Strain_048,ISEc36,475360
Strain_026,Tn916,954214
Strain_063,IS26,427535
Strain_077,Tn5801,1515677
Strain_036,ISSsu7,1796410
Strain_024,IS26,687699
Strain_090,ISStin2,864797
Strain_021,ISSsu7,1221761
Strain_018,Tn5801,599961
Strain_015,Tn916,1804824
Strain_079,IS1562,600735
Strain_006,IS1562,227574
Strain_043,Tn5801,1861071
Strain_031,IS26,1178000
Strain_028,IS26,1190135
Strain_008,ISSsu7,610926
Strain_029,ISSsu7,348290
Strain_021,Tn916,1421795
Strain_081,IS26,515915
Strain_088,ISStin2,1851908
Strain_058,IS1562,1658544
Strain_060,Tn916,372094
Strain_050,ISSsu7,1809349
Strain_031,ISStin2,1187881
Strain_047,IS26,622037
