Strain,Plasmid_Type,Size_kb
Strain_067,rep2,67.9
Strain_069,repUS27,21.3
Strain_011,repUS43,109.6
Strain_072,repUS43,147.5
Strain_074,rep2,145.5
Strain_010,rep2,40.9
Strain_035,rep1,43.6
Strain_027,repUS27,93.5
Strain_055,rep1,102.8
Strain_083,rep1,116.1
Strain_033,repUS43,43.5
Strain_088,rep2,144.7
Strain_029,repUS43,103.0
Strain_004,repUS27,130.1
Strain_031,rep1,90.2
Strain_070,repUS27,73.9
Strain_080,rep2,147.0
Strain_048,rep2,95.7
Strain_075,repUS14,132.7
Strain_037,repUS27,143.9
Strain_073,repUS43,107.8
Strain_022,repUS27,91.4
Strain_009,rep1,20.5
Strain_001,rep2,25.2
Strain_079,rep2,46.1
