Strain,Serotype
Strain_001,4
Strain_002,11
Strain_003,12
Strain_004,8
Strain_005,20
Strain_006,28
Strain_007,12
Strain_008,5
Strain_009,8
Strain_010,26
Strain_011,17
Strain_012,13
Strain_013,4
Strain_014,13
Strain_015,8
Strain_016,29
Strain_017,27
Strain_018,2
Strain_019,15
Strain_020,6
Strain_021,12
Strain_022,27
Strain_023,16
Strain_024,10
Strain_025,6
Strain_026,24
Strain_027,19
Strain_028,14
Strain_029,6
Strain_030,10
Strain_031,29
Strain_032,15
Strain_033,12
Strain_034,15
Strain_035,24
Strain_036,10
Strain_037,5
Strain_038,17
Strain_039,20
Strain_040,21
Strain_041,27
Strain_042,11
Strain_043,1
Strain_044,29
Strain_045,13
Strain_046,19
Strain_047,20
Strain_048,16
Strain_049,5
Strain_050,23
Strain_051,24
Strain_052,16
Strain_053,14
Strain_054,3
Strain_055,2
Strain_056,10
Strain_057,9
Strain_058,29
Strain_059,24
Strain_060,20
Strain_061,15
Strain_062,4
Strain_063,30
Strain_064,11
Strain_065,2
Strain_066,15
Strain_067,27
Strain_068,27
Strain_069,1
Strain_070,27
Strain_071,8
Strain_072,1
Strain_073,26
Strain_074,26
Strain_075,18
Strain_076,17
Strain_077,25
Strain_078,24
Strain_079,27
Strain_080,16
Strain_081,29
Strain_082,30
Strain_083,3
Strain_084,26
Strain_085,15
Strain_086,11
Strain_087,18
Strain_088,1
Strain_089,15
Strain_090,26
Strain_091,6
