Strain,SAT-4,aad9,ant(6)-Ia,aph(3')-III,ermB,lnuC,lsaE,mefA,msrD,tetM,tetO,tetW,blaTEM,floR,catA3,strA,strB,sul1,sul2,dfrG,aac(6')-Ie
SynStrain_001,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
SynStrain_002,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
SynStrain_003,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1
SynStrain_004,0,0,0,0,1,0,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0
SynStrain_005,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1
SynStrain_006,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,1,1,0,0,0,0
SynStrain_007,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0
SynStrain_008,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
SynStrain_009,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0
SynStrain_010,0,0,1,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0
SynStrain_011,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1
SynStrain_012,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,1,1,0,0
SynStrain_013,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,1
SynStrain_014,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
SynStrain_015,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1
SynStrain_016,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0
SynStrain_017,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SynStrain_018,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0
SynStrain_019,1,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,1
SynStrain_020,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1
SynStrain_021,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0
SynStrain_022,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
SynStrain_023,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0
SynStrain_024,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1
SynStrain_025,0,0,1,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1
SynStrain_026,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0
SynStrain_027,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
SynStrain_028,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0
SynStrain_029,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SynStrain_030,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0
SynStrain_031,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
SynStrain_032,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
SynStrain_033,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0
SynStrain_034,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
SynStrain_035,0,1,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0
SynStrain_036,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
SynStrain_037,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0
SynStrain_038,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0
SynStrain_039,0,1,1,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0
SynStrain_040,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
SynStrain_041,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
SynStrain_042,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
SynStrain_043,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0
SynStrain_044,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1
SynStrain_045,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0
SynStrain_046,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
SynStrain_047,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
SynStrain_048,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1
SynStrain_049,0,0,0,1,1,0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,0
SynStrain_050,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
