Strain,ST
SynStrain_001,ST105
SynStrain_002,ST7
SynStrain_003,ST94
SynStrain_004,ST105
SynStrain_005,ST1
SynStrain_006,ST208
SynStrain_007,ST94
SynStrain_008,ST94
SynStrain_009,ST105
SynStrain_010,ST28
SynStrain_011,ST1
SynStrain_012,ST105
SynStrain_013,ST1
SynStrain_014,ST1
SynStrain_015,ST208
SynStrain_016,ST94
SynStrain_017,ST7
SynStrain_018,ST208
SynStrain_019,ST208
SynStrain_020,ST1
SynStrain_021,ST16
SynStrain_022,ST94
SynStrain_023,ST28
SynStrain_024,ST208
SynStrain_025,ST7
SynStrain_026,ST16
SynStrain_027,ST16
SynStrain_028,ST28
SynStrain_029,ST208
SynStrain_030,ST7
SynStrain_031,ST94
SynStrain_032,ST25
SynStrain_033,ST7
SynStrain_034,ST28
SynStrain_035,ST16
SynStrain_036,ST94
SynStrain_037,ST7
SynStrain_038,ST25
SynStrain_039,ST25
SynStrain_040,ST1
SynStrain_041,ST1
SynStrain_042,ST105
SynStrain_043,ST28
SynStrain_044,ST208
SynStrain_045,ST7
SynStrain_046,ST7
SynStrain_047,ST208
SynStrain_048,ST105
SynStrain_049,ST16
SynStrain_050,ST16
