Strain,Serotype
SynStrain_001,1/2
SynStrain_002,9
SynStrain_003,11
SynStrain_004,1/2
SynStrain_005,7
SynStrain_006,3
SynStrain_007,11
SynStrain_008,11
SynStrain_009,1/2
SynStrain_010,4
SynStrain_011,7
SynStrain_012,1/2
SynStrain_013,7
SynStrain_014,7
SynStrain_015,3
SynStrain_016,11
SynStrain_017,9
SynStrain_018,3
SynStrain_019,3
SynStrain_020,7
SynStrain_021,14
SynStrain_022,11
SynStrain_023,4
SynStrain_024,3
SynStrain_025,9
SynStrain_026,14
SynStrain_027,14
SynStrain_028,4
SynStrain_029,3
SynStrain_030,9
SynStrain_031,11
SynStrain_032,2
SynStrain_033,9
SynStrain_034,4
SynStrain_035,14
SynStrain_036,11
SynStrain_037,9
SynStrain_038,2
SynStrain_039,2
SynStrain_040,7
SynStrain_041,7
SynStrain_042,1/2
SynStrain_043,4
SynStrain_044,3
SynStrain_045,9
SynStrain_046,9
SynStrain_047,3
SynStrain_048,1/2
SynStrain_049,14
SynStrain_050,14
