Strain_ID,Virulence_01,Virulence_02,Virulence_03,Virulence_04,Virulence_05,Virulence_06,Virulence_07,Virulence_08,Virulence_09,Virulence_10,Virulence_11,Virulence_12,Virulence_13,Virulence_14,Virulence_15,Virulence_16,Virulence_17,Virulence_18,Virulence_19,Virulence_20
Strain_0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Strain_0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_0003,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Strain_0004,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0
Strain_0005,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
Strain_0006,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Strain_0007,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
Strain_0008,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Strain_0009,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
Strain_0010,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Strain_0011,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0
Strain_0012,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
Strain_0013,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Strain_0014,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0
Strain_0015,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0
Strain_0016,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0
Strain_0017,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0
Strain_0018,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
Strain_0019,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0
Strain_0020,0,0,1,1,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0
Strain_0021,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
Strain_0022,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1
Strain_0023,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1
Strain_0024,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
Strain_0025,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_0026,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
Strain_0027,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
Strain_0028,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Strain_0029,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
Strain_0030,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
Strain_0031,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Strain_0032,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
