Strain_ID,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20
Strain_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Strain_3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Strain_4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Strain_6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Strain_7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Strain_8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Strain_14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Strain_16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_20,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
Strain_21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Strain_22,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Strain_23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Strain_24,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Strain_25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Strain_26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
