Strain_ID,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20
Strain_1,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0
Strain_2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0
Strain_3,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0
Strain_4,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,1,1,0,0,0
Strain_5,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0
Strain_6,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0
Strain_7,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1
Strain_8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1
Strain_9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Strain_10,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1
Strain_11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
Strain_12,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0
Strain_13,1,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0
Strain_14,0,1,0,0,1,1,0,1,0,0,1,1,1,1,0,0,1,0,1,1
Strain_15,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Strain_16,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0
Strain_17,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0
Strain_18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Strain_19,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0
Strain_20,0,0,0,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,1,1
Strain_21,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1
Strain_22,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0
Strain_23,0,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0
Strain_24,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0
Strain_25,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1
Strain_26,0,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,0,1,1,0
Strain_27,0,0,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0
Strain_28,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
Strain_29,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0
Strain_30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Strain_31,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1
Strain_32,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
Strain_33,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Strain_34,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
Strain_35,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Strain_36,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,1
Strain_37,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0
Strain_38,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1
Strain_39,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,1,1,0
Strain_40,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1
Strain_41,1,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0
Strain_42,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Strain_43,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
Strain_44,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
Strain_45,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0
Strain_46,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0
Strain_47,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
Strain_48,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
Strain_49,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
Strain_50,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0
Strain_51,0,0,1,1,1,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0
Strain_52,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0
Strain_53,0,1,0,0,1,0,0,0,1,0,1,0,1,1,1,0,1,0,0,0
Strain_54,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Strain_55,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
Strain_56,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
Strain_57,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Strain_58,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,0,1,1,0
Strain_59,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0
Strain_60,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0
Strain_61,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Strain_62,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
Strain_63,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Strain_64,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
Strain_65,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Strain_66,0,1,0,0,1,1,1,1,0,1,0,1,0,1,0,0,0,1,0,0
Strain_67,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0
Strain_68,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0
Strain_69,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0
