Feature,Bootstrap_Log_Odds_Mean,Bootstrap_Log_Odds_Std,Bootstrap_Log_Odds_Lower_CI,Bootstrap_Log_Odds_Upper_CI,Significant
 PepF,5.2095,0.0,5.2095,5.2095,True
 Cps2B,5.2095,0.0,5.2095,5.2095,True
 prsA,5.2095,0.0,5.2095,5.2095,True
 ciaH,5.2095,0.0,5.2095,5.2095,True
 agaR2,5.2095,0.0,5.2095,5.2095,True
 manN,5.2095,0.0,5.2095,5.2095,True
 LDH,5.2095,0.0,5.2095,5.2095,True
 ArcD,5.2095,0.0,5.2095,5.2095,True
 adhE,5.2095,0.0,5.2095,5.2095,True
 Stk,5.2095,0.0,5.2095,5.2095,True
 ClpX,5.2095,0.0,5.2095,5.2095,True
 pepT,5.2095,0.0,5.2095,5.2095,True
 ClpP,5.2095,0.0,5.2095,5.2095,True
 DnaK,5.2095,0.0,5.2095,5.2095,True
 CodY,5.2095,0.0,5.2095,5.2095,True
 CovR,5.2095,0.0,5.2095,5.2095,True
 HrcA,5.2095,0.0,5.2095,5.2095,True
 Eno,5.2095,0.0,5.2095,5.2095,True
 HAM1,5.2095,0.0,5.2095,5.2095,True
 Rex,5.2095,0.0,5.2095,5.2095,True
 GntR,5.2095,0.0,5.2095,5.2095,True
 GidA,5.2095,0.0,5.2095,5.2095,True
 GdpP,5.2095,0.0,5.2095,5.2095,True
 RelA,5.2095,0.0,5.2095,5.2095,True
 FlpS,5.2095,0.0,5.2095,5.2095,True
 VraSR,5.2095,0.0,5.2095,5.2095,True
 DnaJ,5.2095,0.0,5.2095,5.2095,True
 FBA,5.2095,0.0,5.2095,5.2095,True
 EF-Tu,5.2095,0.0,5.2095,5.2095,True
 GroEL,5.2095,0.0,5.2095,5.2095,True
 PDH,5.2095,0.0,5.2095,5.2095,True
 IMPDH_1,5.2095,0.0,5.2095,5.2095,True
 DivIVA,5.2095,0.0,5.2095,5.2095,True
 BgaC,5.2095,0.0,5.2095,5.2095,True
 argR,5.2095,0.0,5.2095,5.2095,True
 PGK,5.2095,0.0,5.2095,5.2095,True
 OTC,5.2095,0.0,5.2095,5.2095,True
 MsmK,5.2095,0.0,5.2095,5.2095,True
 FBPS,5.2095,0.0,5.2095,5.2095,True
 ABC_1,5.2095,0.0,5.2095,5.2095,True
 HtpsA,5.2095,0.0,5.2095,5.2095,True
 LuxS,5.2095,0.0,5.2095,5.2095,True
 RelQ,5.2095,0.0,5.2095,5.2095,True
 HP1083,5.2095,0.0,5.2095,5.2095,True
 mnmE,5.2095,0.0,5.2095,5.2095,True
 ciaR,5.2095,0.0,5.2095,5.2095,True
 lytR,5.2095,0.0,5.2095,5.2095,True
 HP1717,5.2095,0.0,5.2095,5.2095,True
 GAPDH,5.2095,0.0,5.2095,5.2095,True
 OppA,5.2095,0.0,5.2095,5.2095,True
 KAR,5.2095,0.0,5.2095,5.2095,True
 PK,5.2095,0.0,5.2095,5.2095,True
 GlnA,5.2095,0.0,5.2095,5.2095,True
 IMPDH_2,5.2095,0.0,5.2095,5.2095,True
 SspA,5.2095,0.0,5.2095,5.2095,True
tet(L),-4.4448,0.7033,-5.2095,-3.2302,True
 PnuC,-4.4355,0.753,-5.2095,-3.2302,True
optrA,-4.4193,0.6888,-5.2095,-3.2302,True
Gentamicin,-4.4071,0.6967,-5.2095,-3.2302,True
 Fhbp,-4.3928,0.6792,-5.2095,-3.2302,True
 pgdA,4.3847,0.7129,3.2302,5.2095,True
lnu(C),-4.363,0.7337,-5.2095,-3.0923,True
 srtA,4.3512,0.7053,3.2302,5.2095,True
 Stp,4.3493,0.723,3.2302,5.2095,True
 GrpE,4.3397,0.7113,3.0923,5.2095,True
tet(40),-4.3354,0.7338,-5.2095,-3.2302,True
tet(44),-4.3317,0.7499,-5.2095,-3.2302,True
Ampicillin,-4.3303,0.7317,-5.2095,-3.0923,True
Florfenicol,-4.313,0.7169,-5.2095,-3.0923,True
 hylA,-4.2681,0.6885,-5.2095,-3.2302,True
 lhr,4.2584,0.7138,3.2302,5.2095,True
 lhk,4.2484,0.7437,3.2302,5.2095,True
 HP1538,4.18,0.7139,3.0923,5.2095,True
 cbp40omp40,-3.8301,0.7124,-5.2095,-2.7554,True
 SspB,3.822,0.724,2.8562,5.2095,True
 rfeA,-3.8187,0.7283,-5.2095,-2.7554,True
 Zmp,3.7751,0.6302,2.9676,5.2095,True
aad9,-3.7524,0.6542,-5.2095,-2.8562,True
tet(O/W/32/O),-3.743,0.6942,-5.2095,-2.7554,True
Ceftiofur,-3.7262,0.7035,-5.2095,-2.6616,True
ant(6)-Ib,-3.7051,0.6516,-5.2095,-2.7554,True
 ssnA,3.6521,0.6584,2.6616,5.2095,True
 SntA,3.5958,0.5407,2.7554,5.2095,True
aph(3')-III,-3.5549,0.7263,-5.2095,-2.5767,True
Penicillin,-3.4317,0.6435,-5.2095,-2.5767,True
tet(T),-3.4176,0.7122,-5.2095,-2.5767,True
 Fhb_2,-3.3778,0.5232,-4.0999,-2.5767,True
 Ssa,3.3749,0.5991,2.4218,4.6824,True
vga(F),-3.3526,0.6111,-5.2095,-2.4218,True
Enrofloxacin,-3.332,0.5734,-4.6824,-2.4218,True
 ABC_2,2.6784,0.5038,2.0492,3.852,True
Trimethoprim_Sulphamethoxazole,-2.6515,0.4016,-3.4128,-1.995,True
 dltA,2.6474,0.496,1.9459,3.5779,True
SAT-4,-2.5823,0.334,-3.2302,-2.0492,True
erm(47),-2.3492,0.363,-3.1055,-1.803,True
 SsPep,2.323,0.3944,1.6761,3.1055,True
 HtpsC,2.3086,0.4263,1.6761,3.4128,True
 yzpA,2.2308,0.3766,1.6343,3.1055,True
 abpb,2.1339,0.33,1.5208,2.7554,True
 ldeS,1.9967,0.2747,1.5208,2.5767,True
 MRP,1.9856,0.2869,1.4829,2.5767,True
spw,-1.9644,0.2934,-2.5767,-1.5208,True
lnu(B),-1.7311,0.2911,-2.2848,-1.2169,True
