Cluster,Feature,Log_Odds_Ratio
1,Amoxicillin_Clavulanic_acid,-2.83
2,Amoxicillin_Clavulanic_acid,-3.5
3,Amoxicillin_Clavulanic_acid,-1.61
4,Amoxicillin_Clavulanic_acid,-3.14
5,Amoxicillin_Clavulanic_acid,-2.94
6,Amoxicillin_Clavulanic_acid,-3.43
7,Amoxicillin_Clavulanic_acid,-3.56
8,Amoxicillin_Clavulanic_acid,-2.2
9,Amoxicillin_Clavulanic_acid,-2.94
1,Ampicillin,-2.83
2,Ampicillin,-3.5
3,Ampicillin,-1.61
4,Ampicillin,-3.14
5,Ampicillin,-2.94
6,Ampicillin,-3.43
7,Ampicillin,-2.4
8,Ampicillin,-2.2
9,Ampicillin,-2.94
1,Ceftiofur,-1.61
2,Ceftiofur,-3.5
3,Ceftiofur,-1.61
4,Ceftiofur,-3.14
5,Ceftiofur,-2.94
6,Ceftiofur,-3.43
7,Ceftiofur,-2.4
8,Ceftiofur,-2.2
9,Ceftiofur,-2.94
1,Doxycycline,0.96
2,Doxycycline,0.74
3,Doxycycline,0.0
4,Doxycycline,0.51
5,Doxycycline,-0.2
6,Doxycycline,0.13
7,Doxycycline,1.1
8,Doxycycline,2.2
9,Doxycycline,1.73
1,Enrofloxacin,-1.61
2,Enrofloxacin,-3.5
3,Enrofloxacin,-1.61
4,Enrofloxacin,-1.95
5,Enrofloxacin,-2.94
6,Enrofloxacin,-3.43
7,Enrofloxacin,-2.4
8,Enrofloxacin,-2.2
9,Enrofloxacin,-2.94
1,Florfenicol,-2.83
2,Florfenicol,-3.5
3,Florfenicol,-1.61
4,Florfenicol,-3.14
5,Florfenicol,-2.94
6,Florfenicol,-3.43
7,Florfenicol,-2.4
8,Florfenicol,-2.2
9,Florfenicol,-2.94
1,Gentamicin,-2.83
2,Gentamicin,-3.5
3,Gentamicin,-1.61
4,Gentamicin,-3.14
5,Gentamicin,-2.94
6,Gentamicin,-2.27
7,Gentamicin,-3.56
8,Gentamicin,-2.2
9,Gentamicin,-2.94
1,Oxytetracycline,2.83
2,Oxytetracycline,1.02
3,Oxytetracycline,0.0
4,Oxytetracycline,0.51
5,Oxytetracycline,1.1
6,Oxytetracycline,0.13
7,Oxytetracycline,1.42
8,Oxytetracycline,2.2
9,Oxytetracycline,1.73
1,Penicillin,-0.96
2,Penicillin,-3.5
3,Penicillin,-1.61
4,Penicillin,-3.14
5,Penicillin,-2.94
6,Penicillin,-3.43
7,Penicillin,-2.4
8,Penicillin,-2.2
9,Penicillin,-2.94
1,Spectinomycin,-2.83
2,Spectinomycin,1.02
3,Spectinomycin,-1.61
4,Spectinomycin,-1.34
5,Spectinomycin,-0.62
6,Spectinomycin,-0.94
7,Spectinomycin,-0.57
8,Spectinomycin,-2.2
9,Spectinomycin,-1.1
1,Tiamulin,-0.45
2,Tiamulin,-2.34
3,Tiamulin,-1.61
4,Tiamulin,-1.34
5,Tiamulin,-1.1
6,Tiamulin,-2.27
7,Tiamulin,-0.34
8,Tiamulin,-2.2
9,Tiamulin,-1.1
1,Trimethoprim_Sulphamethoxazole,0.0
2,Trimethoprim_Sulphamethoxazole,-3.5
3,Trimethoprim_Sulphamethoxazole,-1.61
4,Trimethoprim_Sulphamethoxazole,-3.14
5,Trimethoprim_Sulphamethoxazole,-2.94
6,Trimethoprim_Sulphamethoxazole,-2.27
7,Trimethoprim_Sulphamethoxazole,-2.4
8,Trimethoprim_Sulphamethoxazole,-2.2
9,Trimethoprim_Sulphamethoxazole,-2.94
1,Tulathromycin,0.45
2,Tulathromycin,1.02
3,Tulathromycin,0.0
4,Tulathromycin,-1.34
5,Tulathromycin,-0.2
6,Tulathromycin,0.65
7,Tulathromycin,0.11
8,Tulathromycin,-0.85
9,Tulathromycin,-0.62
1,SAT-4,-2.83
2,SAT-4,-3.5
3,SAT-4,-1.61
4,SAT-4,-3.14
5,SAT-4,-1.1
6,SAT-4,-1.27
7,SAT-4,-2.4
8,SAT-4,-2.2
9,SAT-4,-2.94
1,aad9,-2.83
2,aad9,-3.5
3,aad9,-1.61
4,aad9,-3.14
5,aad9,-2.94
6,aad9,-1.69
7,aad9,-3.56
8,aad9,-2.2
9,aad9,-2.94
1,ant(6)-Ia,-0.45
2,ant(6)-Ia,-3.5
3,ant(6)-Ia,-1.61
4,ant(6)-Ia,-0.89
5,ant(6)-Ia,-0.2
6,ant(6)-Ia,-0.13
7,ant(6)-Ia,-0.11
8,ant(6)-Ia,-2.2
9,ant(6)-Ia,-1.1
1,ant(6)-Ib,-0.96
2,ant(6)-Ib,-3.5
3,ant(6)-Ib,-1.61
4,ant(6)-Ib,-3.14
5,ant(6)-Ib,-2.94
6,ant(6)-Ib,-3.43
7,ant(6)-Ib,-3.56
8,ant(6)-Ib,-2.2
9,ant(6)-Ib,-2.94
1,aph(3')-III,-2.83
2,aph(3')-III,-3.5
3,aph(3')-III,-1.61
4,aph(3')-III,-3.14
5,aph(3')-III,-1.1
6,aph(3')-III,-3.43
7,aph(3')-III,-2.4
8,aph(3')-III,-2.2
9,aph(3')-III,-2.94
1,erm(47),-1.61
