Strain_ID,Cluster
2083,3
2157,3
2220,7
2028,7
2008,7
2195,7
2074,5
2097,5
2197,5
2198,5
2110,5
2161,5
1862,5
2185,5
2027,5
2202,2
1883,2
1884,2
1885,2
1886,2
1912,2
1913,2
1914,2
1915,2
2109,2
2128,2
2160,2
2170,2
2112,2
2137,2
2135,2
2223,1
2243,1
2078,1
2194,1
1955,1
2077,1
2049,1
2054,1
2045,8
1892,6
1893,6
2240,6
2127,6
2224,6
1890,6
1925,6
2217,6
1934,6
2031,6
2154,6
1905,6
2201,6
2047,6
2214,6
1898,7
1936,7
2075,7
2079,7
2222,7
1845,7
1849,7
1863,7
1864,7
2009,7
1901,7
2076,7
2221,7
2158,4
2242,4
2081,4
2168,4
2166,4
2159,4
2219,4
1812,4
1814,4
1815,4
2094,4
1927,8
2188,8
2145,8
2093,9
2204,9
1982,9
2085,9
2147,9
2241,9
2030,9
2096,9
2101,9
