Feature,Clusters,NumClusters,Count,Percent_in_Clusters
 LDH,"1, 2, 3, 4, 5, 6, 7, 8, 9",9,91,100.0
 manN,"1, 2, 3, 4, 5, 6, 7, 8, 9",9,91,100.0
 ArcD,"1, 2, 3, 4, 5, 6, 7, 8, 9",9,91,100.0
 agaR2,"1, 2, 3, 4, 5, 6, 7, 8, 9",9,91,100.0
 Cps2B,"1, 2, 3, 4, 5, 6, 7, 8, 9",9,91,100.0
 ciaH,"1, 2, 3, 4, 5, 6, 7, 8, 9",9,91,100.0
 prsA,"1, 2, 3, 4, 5, 6, 7, 8, 9",9,91,100.0
 HP1717,"1, 2, 3, 4, 5, 6, 7, 8, 9",9,91,100.0
 SspA,"1, 2, 3, 4, 5, 6, 7, 8, 9",9,91,100.0
 OppA,"1, 2, 3, 4, 5, 6, 7, 8, 9",9,91,100.0
 PK,"1, 2, 3, 4, 5, 6, 7, 8, 9",9,91,100.0
 KAR,"1, 2, 3, 4, 5, 6, 7, 8, 9",9,91,100.0
 IMPDH_2,"1, 2, 3, 4, 5, 6, 7, 8, 9",9,91,100.0
 GlnA,"1, 2, 3, 4, 5, 6, 7, 8, 9",9,91,100.0
 HtpsA,"1, 2, 3, 4, 5, 6, 7, 8, 9",9,91,100.0
 LuxS,"1, 2, 3, 4, 5, 6, 7, 8, 9",9,91,100.0
 RelQ,"1, 2, 3, 4, 5, 6, 7, 8, 9",9,91,100.0
 HP1083,"1, 2, 3, 4, 5, 6, 7, 8, 9",9,91,100.0
 ciaR,"1, 2, 3, 4, 5, 6, 7, 8, 9",9,91,100.0
 mnmE,"1, 2, 3, 4, 5, 6, 7, 8, 9",9,91,100.0
 CovR,"1, 2, 3, 4, 5, 6, 7, 8, 9",9,91,100.0
 lytR,"1, 2, 3, 4, 5, 6, 7, 8, 9",9,91,100.0
 RelA,"1, 2, 3, 4, 5, 6, 7, 8, 9",9,91,100.0
 GidA,"1, 2, 3, 4, 5, 6, 7, 8, 9",9,91,100.0
