Strain_ID,Trait_1,Trait_2,Trait_3,Trait_4,Trait_5,Trait_6,Trait_7,Trait_8,Trait_9,Trait_10,True_Cluster
S0001,1,0,0,0,1,0,0,0,0,0,1
S0002,0,0,0,0,0,0,0,0,1,0,1
S0003,0,0,0,0,1,0,0,0,1,0,1
S0004,1,0,1,0,0,1,0,0,0,0,1
S0005,1,1,0,0,1,0,0,0,1,0,1
S0006,1,0,0,1,0,0,0,1,0,1,1
S0007,1,0,0,0,1,1,0,0,0,1,1
S0008,0,0,0,0,1,1,0,1,0,0,1
S0009,0,0,0,0,0,1,0,0,1,0,1
S0010,0,0,0,0,1,0,0,0,1,0,1
S0011,1,0,0,0,1,0,0,0,0,0,1
S0012,0,0,0,0,0,0,0,0,0,0,1
S0013,0,1,0,0,0,1,0,0,1,0,1
S0014,1,1,0,1,1,1,0,0,0,0,1
S0015,1,0,0,1,0,0,1,0,0,0,1
S0016,1,1,0,0,1,0,1,1,1,0,1
S0017,1,1,0,0,1,0,0,1,1,0,1
S0018,1,0,0,0,1,1,0,1,1,1,1
S0019,1,1,0,0,0,1,1,0,1,0,1
S0020,1,0,1,0,0,0,0,0,1,0,1
S0021,0,1,0,0,0,0,0,1,0,1,1
S0022,1,1,0,0,0,0,0,0,1,0,1
S0023,1,0,0,0,1,1,0,0,1,1,1
S0024,1,0,0,0,1,1,0,0,1,0,1
S0025,1,0,0,1,1,1,0,0,1,0,1
S0026,1,1,0,1,0,1,0,1,1,1,2
S0027,0,0,1,0,0,1,0,0,0,1,2
S0028,0,0,0,0,1,1,1,1,0,1,2
S0029,0,1,1,0,0,1,0,0,1,1,2
S0030,0,1,0,0,0,0,0,0,0,1,2
S0031,0,1,1,0,0,0,1,0,0,1,2
S0032,0,1,0,1,1,0,1,1,0,0,2
S0033,0,1,0,0,0,0,0,1,0,0,2
S0034,1,1,0,0,0,1,0,0,0,1,2
S0035,1,0,0,0,0,0,0,0,0,1,2
S0036,1,1,1,0,1,0,0,1,0,1,2
S0037,0,1,0,1,0,0,0,0,1,1,2
S0038,0,1,0,1,1,1,0,1,0,0,2
S0039,1,1,0,0,1,1,0,0,0,1,2
S0040,0,0,0,0,0,1,0,0,0,1,2
S0041,0,0,1,0,0,0,0,0,0,1,2
S0042,0,1,1,0,1,1,0,0,1,1,2
S0043,0,1,1,0,0,1,0,1,0,1,2
S0044,1,1,0,0,0,1,0,0,1,0,2
S0045,0,1,0,0,1,1,0,0,0,1,2
S0046,1,1,1,0,1,1,1,1,0,1,2
S0047,0,1,0,0,1,1,0,0,0,1,2
S0048,0,1,1,0,1,1,1,0,1,0,2
S0049,0,1,1,0,0,1,1,1,0,0,2
S0050,0,1,1,0,0,0,0,0,0,1,2
S0051,1,1,1,1,1,1,1,0,0,1,3
S0052,1,0,1,1,1,1,1,1,1,1,3
S0053,1,0,1,1,0,1,1,1,0,0,3
S0054,1,0,1,0,1,1,1,0,1,1,3
S0055,1,1,1,0,0,1,1,0,0,0,3
S0056,1,0,1,1,0,0,1,1,0,0,3
S0057,0,1,0,0,0,0,1,1,0,1,3
S0058,0,1,1,1,0,0,1,1,0,0,3
S0059,0,0,1,1,0,1,1,1,1,0,3
S0060,0,1,1,1,0,1,1,1,0,1,3
S0061,0,0,1,0,0,1,1,0,1,0,3
S0062,0,1,0,1,1,0,0,0,0,1,3
S0063,1,1,1,0,1,0,1,0,1,0,3
S0064,0,1,1,1,1,0,1,1,0,0,3
S0065,0,0,1,1,1,0,1,0,0,0,3
S0066,1,1,1,0,0,1,1,1,1,0,3
S0067,0,0,1,1,0,0,1,1,0,1,3
S0068,1,0,1,1,1,0,1,1,0,0,3
S0069,0,0,1,0,0,1,1,0,1,1,3
S0070,1,1,1,0,1,0,1,1,1,0,3
S0071,1,1,1,0,0,1,1,0,0,1,3
S0072,0,0,1,0,1,1,1,1,0,1,3
S0073,0,1,1,0,0,0,1,0,1,1,3
S0074,1,0,0,1,1,1,1,0,0,0,3
S0075,1,1,1,0,1,1,1,1,0,0,3
S0076,0,1,1,1,0,0,0,1,1,1,4
S0077,0,0,0,1,1,1,1,1,0,1,4
S0078,1,1,1,1,1,0,1,1,0,1,4
S0079,1,0,0,1,0,1,0,1,1,1,4
S0080,1,1,0,1,1,1,0,1,1,1,4
S0081,0,1,0,1,1,1,0,1,1,1,4
S0082,1,1,1,1,0,0,1,1,0,0,4
S0083,1,0,1,1,1,1,1,1,1,1,4
S0084,1,0,1,1,1,1,0,1,1,1,4
S0085,1,1,1,1,1,1,0,1,0,0,4
S0086,1,0,1,1,0,1,1,1,1,1,4
S0087,0,0,1,1,1,1,1,1,0,0,4
S0088,1,1,1,1,1,1,1,1,1,1,4
S0089,0,1,1,1,0,1,0,1,1,1,4
S0090,1,1,1,1,0,1,1,1,1,0,4
S0091,1,1,1,0,1,1,1,1,0,0,4
S0092,0,0,1,1,1,1,1,1,0,0,4
S0093,0,0,0,1,1,1,1,1,0,1,4
S0094,1,1,1,1,1,1,1,1,1,1,4
S0095,0,1,1,1,1,0,1,1,0,1,4
S0096,1,1,1,1,1,1,1,1,1,1,4
S0097,1,0,0,1,1,0,1,1,1,0,4
S0098,1,0,1,1,1,1,1,1,0,1,4
S0099,1,0,1,1,0,1,1,1,1,0,4
S0100,1,0,1,1,0,1,1,1,1,1,4
